ID	GTEX-1192X	GTEX-11DZ1	GTEX-11EMC	GTEX-11GSP	GTEX-11ONC	GTEX-11UD2	GTEX-11WQK	GTEX-11ZTS	GTEX-11ZUS	GTEX-11ZVC	GTEX-12126	GTEX-12WSD	GTEX-12WSH	GTEX-131XW	GTEX-131YS	GTEX-139T4	GTEX-139UW	GTEX-13CIG	GTEX-13CZV	GTEX-13FLV	GTEX-13FTY	GTEX-13FXS	GTEX-13JUV	GTEX-13N1W	GTEX-13N2G	GTEX-13NYB	GTEX-13NZA	GTEX-13OVJ	GTEX-13OVL	GTEX-13OW5	GTEX-13PL6	GTEX-13PLJ	GTEX-13PVQ	GTEX-13QJC	GTEX-13RTJ	GTEX-13S7M	GTEX-13SLW	GTEX-13SLX	GTEX-13VXU	GTEX-13X6I	GTEX-145LU	GTEX-147GR	GTEX-148VJ	GTEX-14ABY	GTEX-14BIL	GTEX-14BIM	GTEX-14BIN	GTEX-14BMV	GTEX-14E6C	GTEX-14E7W	GTEX-14JIY	GTEX-14PJM	GTEX-14PJO	GTEX-14PN4	GTEX-15CHQ	GTEX-15DCD	GTEX-15DDE	GTEX-15DYW	GTEX-15EO6	GTEX-15ER7	GTEX-15G19	GTEX-16NPV	GTEX-16XZZ	GTEX-17EVQ	GTEX-18464	GTEX-1A32A	GTEX-1A8G7	GTEX-1B8L1	GTEX-1B933	GTEX-1BAJH	GTEX-1C6VQ	GTEX-1CAMQ	GTEX-1CB4H	GTEX-1EH9U	GTEX-1EKGG	GTEX-1EU9M	GTEX-1EWIQ	GTEX-1F52S	GTEX-1F6I4	GTEX-1F88F	GTEX-1GF9V	GTEX-1GF9W	GTEX-1GN1U	GTEX-1GN2E	GTEX-1GN73	GTEX-1GTWX	GTEX-1GZ2Q	GTEX-1GZ4I	GTEX-1GZHY	GTEX-1ICLZ	GTEX-1JJ6O	GTEX-1JMLX	GTEX-1JN1M	GTEX-1KANB	GTEX-1LB8K	GTEX-1LSNL	GTEX-1LVA9	GTEX-1LVAO	GTEX-1MJK2	GTEX-1OJC4	GTEX-1R46S	GTEX-1RQEC	GTEX-NL4W	GTEX-NPJ7	GTEX-NPJ8	GTEX-OHPN	GTEX-OXRO	GTEX-PWO3	GTEX-Q2AG	GTEX-QDT8	GTEX-QVJO	GTEX-QVUS	GTEX-R55E	GTEX-RNOR	GTEX-RU72	GTEX-T5JC	GTEX-T6MN	GTEX-TSE9	GTEX-WL46	GTEX-XLM4	GTEX-XMD1	GTEX-YFC4	GTEX-YJ89	GTEX-ZAB4	GTEX-ZF28	GTEX-ZVZQ
PC1	 0.0138	 0.0148	 0.0141	 0.0147	 0.0145	 0.0140	 0.0136	 0.0154	 0.0135	 0.0146	-0.0952	-0.1049	 0.0140	 0.0160	 0.0141	 0.0147	 0.0150	 0.0148	 0.0146	 0.0148	 0.0150	-0.0986	-0.0953	 0.0139	 0.0146	-0.0945	 0.0144	 0.0132	 0.0152	 0.0140	 0.0024	 0.0156	 0.0032	 0.0145	 0.0144	 0.0147	 0.0140	-0.0874	 0.0148	 0.0151	 0.0146	 0.0142	 0.0155	 0.0146	 0.0109	 0.0150	 0.0110	 0.0145	 0.0154	 0.0147	 0.0147	 0.0145	 0.0151	 0.0146	 0.0139	 0.0145	-0.0980	 0.0147	 0.0148	 0.0146	 0.0151	 0.0139	 0.0147	 0.0156	 0.0150	 0.0151	 0.0134	 0.0155	 0.0146	 0.0138	 0.0145	 0.0136	 0.0148	 0.0139	 0.0157	 0.0148	 0.0143	 0.0070	-0.0876	 0.0157	 0.0151	 0.0155	 0.0146	 0.0142	 0.0123	 0.0135	 0.0138	 0.0155	 0.0141	 0.0148	 0.0133	-0.0900	 0.0135	-0.0922	 0.0075	 0.0155	 0.0145	 0.0136	 0.0150	 0.0159	 0.0140	 0.0146	 0.0151	 0.0141	 0.0164	 0.0109	 0.0111	 0.0148	 0.0151	 0.0133	 0.0140	 0.0149	 0.0125	 0.0149	-0.0232	 0.0140	 0.0144	 0.0145	 0.0137	 0.0149	 0.0135	 0.0147	 0.0072	 0.0138	 0.0152	 0.0158
PC2	-0.0056	-0.0022	-0.0025	-0.0048	-0.0098	-0.0047	-0.0102	-0.0085	-0.0030	-0.0035	-0.0157	-0.0190	-0.0021	-0.0024	-0.0062	-0.0051	-0.0048	-0.0048	-0.0068	-0.0060	-0.0046	-0.0140	-0.0064	-0.0052	-0.0069	-0.0152	-0.0068	-0.0032	-0.0073	-0.0058	 0.0212	-0.0079	 0.0188	-0.0063	-0.0009	-0.0004	-0.0055	-0.0123	-0.0062	-0.0047	 0.0002	-0.0039	-0.0051	-0.0056	-0.0067	-0.0049	-0.0057	-0.0067	-0.0040	-0.0053	-0.0039	-0.0009	-0.0019	-0.0049	-0.0007	-0.0073	-0.0148	-0.0053	-0.0042	-0.0031	-0.0056	-0.0015	-0.0066	-0.0051	-0.0081	 0.0017	-0.0081	-0.0052	-0.0085	-0.0050	 0.0017	-0.0056	-0.0016	-0.0022	-0.0057	-0.0040	-0.0045	-0.0013	-0.0120	-0.0116	-0.0080	-0.0054	-0.0012	-0.0078	-0.0030	-0.0057	-0.0016	-0.0089	-0.0041	-0.0080	-0.0014	-0.0172	-0.0046	-0.0102	 0.0044	-0.0049	-0.0062	-0.0021	-0.0072	-0.0062	-0.0011	-0.0078	-0.0073	 0.0115	-0.0062	-0.0059	-0.0025	-0.0022	-0.0043	-0.0035	-0.0064	-0.0026	-0.0054	 0.0014	 0.2929	-0.0038	-0.0075	 0.0012	-0.0050	-0.0060	-0.0036	-0.0084	-0.0013	-0.0021	-0.0080	-0.0036
PC3	 0.0067	 0.0229	-0.0036	-0.0006	 0.0155	 0.0107	 0.0010	 0.0164	-0.0154	 0.0150	-0.0007	 0.0003	-0.0058	 0.0217	-0.0143	 0.0235	 0.0100	 0.0188	-0.0063	-0.0073	-0.0037	 0.0031	 0.0006	-0.0075	 0.0144	 0.0069	 0.0141	 0.0060	 0.0241	 0.0108	-0.0087	 0.0238	-0.1583	-0.0245	 0.0167	 0.0398	-0.0147	 0.0051	-0.0007	 0.0267	 0.0235	-0.0217	 0.0331	 0.0033	-0.0581	 0.0250	-0.0585	 0.0098	 0.0109	 0.0120	 0.0111	 0.0290	 0.0296	-0.0015	 0.0039	 0.0154	-0.0017	 0.0256	 0.0020	-0.0079	 0.0170	 0.0043	 0.0077	 0.0147	 0.0133	 0.0286	-0.0190	 0.0145	-0.0197	 0.0115	-0.0055	 0.0044	 0.0167	 0.0103	 0.0055	 0.0212	-0.0183	-0.1507	 0.0063	-0.0028	 0.0005	 0.0138	 0.0252	 0.0020	-0.0684	 0.0125	 0.0092	-0.0078	 0.0145	 0.0063	-0.0210	-0.0033	 0.0265	-0.0010	-0.1665	 0.0124	 0.0136	 0.0190	 0.0158	 0.0192	-0.0218	 0.0088	 0.0322	 0.0515	 0.0083	-0.0617	-0.0751	 0.0114	 0.0268	-0.0278	 0.0100	 0.0061	-0.0286	 0.0120	 0.0178	 0.0323	 0.0227	 0.0143	 0.0163	 0.0130	-0.0071	 0.0078	-0.1406	 0.0007	 0.0230	 0.0258
PC4	 0.0275	 0.0018	 0.0053	 0.0135	 0.0054	 0.0209	 0.0111	-0.0036	-0.0039	 0.0292	-0.0046	 0.0065	 0.0013	 0.0086	 0.0085	 0.0038	 0.0020	 0.0010	 0.0044	 0.0124	-0.0132	 0.0003	-0.0032	 0.0067	-0.0107	-0.0019	 0.0044	 0.0001	 0.0048	 0.0006	-0.0665	-0.0112	 0.0058	-0.0109	 0.0119	 0.0347	 0.0037	 0.0189	 0.0154	-0.0030	 0.0347	 0.0023	 0.0224	-0.0001	 0.0127	-0.0030	 0.0047	 0.0031	-0.0041	 0.0134	 0.0045	 0.0245	 0.0357	 0.0057	 0.0110	 0.0056	 0.0022	 0.0193	 0.0025	 0.0103	-0.0031	 0.0169	-0.0013	-0.0068	-0.0013	 0.0139	 0.0055	-0.0052	 0.0025	 0.0036	-0.0039	 0.0035	 0.0118	 0.0012	-0.0023	 0.0010	-0.0038	 0.0103	 0.0088	-0.0084	-0.0105	-0.0085	 0.0204	 0.0111	-0.0060	 0.0057	-0.0021	 0.0099	-0.0310	-0.0051	 0.0086	 0.0114	 0.0009	-0.0247	-0.0039	-0.0072	 0.0041	-0.0192	-0.0026	 0.0158	-0.0159	 0.0081	-0.0044	 0.0073	-0.0039	 0.0047	 0.0077	-0.0097	 0.0035	 0.0232	 0.0076	 0.0155	 0.0103	 0.0342	 0.0771	 0.0169	-0.0134	 0.0268	 0.0018	 0.0166	 0.0046	 0.0103	 0.0074	 0.0085	-0.0103	-0.0093
PC5	-0.0057	 0.0425	 0.0064	 0.0029	 0.0258	 0.0115	 0.0037	 0.0378	 0.0184	-0.1058	-0.0131	-0.0034	 0.0184	 0.0185	 0.0079	 0.0464	 0.0200	 0.0266	 0.0070	 0.0141	 0.0056	-0.0144	-0.0123	-0.0485	 0.0190	 0.0038	 0.0076	 0.0263	 0.0292	 0.0185	-0.0143	 0.0483	-0.0199	 0.0184	-0.0255	-0.1297	 0.0027	 0.0058	 0.0169	 0.0327	-0.0950	-0.0117	-0.0888	 0.0075	 0.0053	 0.0132	 0.0094	 0.0207	 0.0320	 0.0122	 0.0062	-0.1005	-0.1706	-0.0035	-0.0752	 0.0377	 0.0036	-0.0834	-0.0214	 0.0279	 0.0134	-0.0483	 0.0029	 0.0299	 0.0459	-0.0979	 0.0143	 0.0233	 0.0017	 0.0291	 0.0323	-0.0004	 0.0048	 0.0361	 0.0197	 0.0467	 0.0006	 0.0032	-0.0041	 0.0187	 0.0132	 0.0208	-0.1341	 0.0159	 0.0098	 0.0309	 0.0175	 0.0030	 0.0224	 0.0158	-0.0096	 0.0063	-0.0520	 0.0100	-0.0384	 0.0421	 0.0299	 0.0113	 0.0131	 0.0222	 0.0084	-0.0195	 0.0205	-0.0375	 0.0033	-0.0043	 0.0096	-0.0417	 0.0484	-0.0360	 0.0189	-0.0516	 0.0023	-0.1202	 0.0313	-0.0210	-0.0012	-0.1128	-0.0684	 0.0504	 0.0280	 0.0417	-0.0025	-0.0388	 0.0145	 0.0103
InferredCov1	0.067241907119751	0.0987779051065445	-0.00141928833909333	0.0931586101651192	0.0365640223026276	-0.0778080895543098	0.0152136217802763	0.0261694490909576	0.00310764391906559	-0.0283792316913605	-0.0265152603387833	0.0947718173265457	0.0138451084494591	-0.0469363369047642	0.0354327298700809	0.000757341855205595	-0.134061217308044	0.103367015719414	-0.00849400740116835	0.0820138901472092	-0.0406240411102772	-0.0079205296933651	0.0368094965815544	-0.102406233549118	0.00714985467493534	0.0913969501852989	0.00080159364733845	0.133811146020889	-0.036950659006834	0.0814918205142021	0.024532251060009	-0.0996422693133354	-0.0348358824849129	-0.00248118839226663	-0.0776728093624115	-0.0380573011934757	0.0737741813063622	0.0204447489231825	0.0207316651940346	0.119589455425739	-0.0654730200767517	-0.0286886971443892	-0.0985600650310516	-0.061831321567297	-0.0472788140177727	0.0300088357180357	-0.0254559628665447	-0.0109582236036658	-0.0921253561973572	-0.00955874565988779	0.0481084324419498	-0.0611327551305294	-0.0562541261315346	0.0275553949177265	0.040925994515419	0.0172623563557863	0.140814885497093	-0.00671759434044361	-0.0021507041528821	-0.00188042595982552	-0.0365879647433758	-0.00700845895335078	-0.0363661162555218	-0.0816292613744736	-0.0320459678769112	-0.0814540833234787	-0.0212123822420835	-0.0428832918405533	0.0188915468752384	0.00764589477330446	-0.0398918278515339	-0.0767698660492897	0.0148194115608931	-0.0315399430692196	-0.016207916662097	-0.0324970223009586	-0.0460960492491722	-0.00342863658443093	-0.031166834756732	-0.0728418529033661	-0.058463592082262	-0.00865934975445271	-0.0552707053720951	-0.0245535559952259	0.0717288255691528	-0.148757666349411	-0.0324246995151043	0.0379979088902473	-0.0630433782935143	0.0978842824697495	0.0560433603823185	-0.0630635470151901	0.0438254922628403	-0.0800339430570602	-0.0233534555882215	-0.0173081047832966	0.0711414143443108	0.0841894373297691	-0.00385578931309283	0.0189876034855843	-0.00973570812493563	-0.0432573854923248	0.0440887399017811	0.0346425138413906	0.11049447208643	-0.0100055243819952	0.0217513330280781	0.030544413253665	-0.026581509038806	-0.022408664226532	0.141641065478325	0.0469547584652901	0.0812785625457764	0.0392693169414997	0.0275288075208664	0.00759972166270018	-0.00365239474922419	0.0500361435115337	-0.0834187865257263	0.0247295387089252	-0.0449182018637657	0.0365304052829742	-0.0250959917902946	0.0375765189528465	0.00277448166161776	0.0294891763478518
InferredCov2	-0.0085117993876338	0.0571347624063492	-0.0140696903690696	-0.0417986512184143	0.00625973008573055	-0.0283027365803719	-0.0562898404896259	-0.0798614695668221	-0.0933999121189117	-0.0767641887068748	-0.0675880387425423	0.0301729962229729	0.0146966818720102	-0.0449569225311279	-0.10517430305481	-0.00197290698997676	0.0106200249865651	-0.0446674488484859	-0.014400914311409	-0.0170106384903193	-0.158850193023682	0.0426450446248055	0.0457198545336723	-0.000285939226159826	0.0517956651747227	-0.0261558387428522	0.000405492435675114	0.0227187667042017	0.0204705148935318	0.0851768553256989	-0.0158425997942686	-0.0233909673988819	0.0172792617231607	0.0805103033781052	0.0351884067058563	0.0813365504145622	0.065861701965332	-0.0244606528431177	0.030971447005868	0.00461318716406822	-0.0209252424538136	0.020120607689023	-0.015415851958096	0.0385461561381817	0.0741107687354088	-0.0221967678517103	0.0218273345381021	0.0560594871640205	0.00260648620314896	-0.152187675237656	-0.00660604285076261	0.0369650423526764	0.0799996256828308	0.0611814595758915	0.138174578547478	0.0572310090065002	0.013600685633719	0.0830990299582481	0.0964396819472313	0.00611227564513683	0.0589979626238346	-0.00388942728750408	0.13276843726635	0.0610676184296608	0.0938181802630424	0.0230978839099407	-0.100759364664555	-0.0121049238368869	0.0146970823407173	-0.0295676477253437	0.00445286743342876	-0.034569438546896	-0.0784613713622093	-0.00307037564925849	-0.205075219273567	-0.0833994075655937	-0.00842309091240168	0.0158875901252031	-0.00861845444887877	0.000564573972951621	-0.0418680682778358	0.0257632881402969	0.0353736728429794	-0.105327270925045	0.0206064637750387	0.0465487949550152	0.0245981030166149	-0.0499514006078243	0.0308648701757193	-0.0365123562514782	-0.089945949614048	-0.0109181012958288	-0.0631367638707161	-0.0875187888741493	-0.121030069887638	-0.0339558757841587	-0.191930457949638	0.0223716497421265	-0.0792673006653786	-0.0894146487116814	0.00529429316520691	-0.0650845319032669	-0.00349531415849924	0.0574990138411522	0.0403134822845459	0.0981299057602882	0.0799743831157684	-0.0471528470516205	-0.0173706244677305	0.0500959903001785	0.0339828655123711	-0.0509485192596912	0.0568685866892338	0.103329353034496	-0.00678899558261037	0.0555672682821751	-0.0546494573354721	-0.000822828500531614	0.0500682778656483	-0.00270738243125379	0.0805660635232925	0.0836727172136307	0.0155916139483452	0.0651691183447838	0.0769937559962273	-0.067081555724144
InferredCov3	-0.00997236836701632	-0.0778578668832779	-0.0274590514600277	0.0912288799881935	0.057841420173645	-0.0324551947414875	-0.0467506945133209	0.0809722021222115	0.0666264221072197	0.00657935440540314	0.0445159077644348	0.0777055770158768	-0.0379432030022144	-0.0282156579196453	-0.0465550497174263	-0.0908428654074669	0.047664150595665	-0.166742607951164	-0.0644137486815453	0.095167338848114	0.00293448031879961	0.0426511503756046	0.0364843271672726	0.000665831263177097	-0.020185200497508	0.068521723151207	-0.0165906846523285	0.0642574578523636	0.0967886820435524	-0.126347959041595	-0.0624629855155945	0.00702578714117408	-0.0100220087915659	-0.0426653362810612	-0.00844456348568201	-0.0183651205152273	0.0724687650799751	0.0431593470275402	0.0348535403609276	0.00833265390247107	0.0567948631942272	-0.00364218140020967	0.0550929084420204	0.0355901196599007	-0.0327871590852737	0.0450046621263027	0.0494674816727638	0.106894083321095	0.0122971655800939	-0.0335731580853462	0.0703886896371841	0.0868693888187408	-0.0178253296762705	-0.0369010753929615	-0.0624241307377815	-0.0857578217983246	0.0126536292955279	0.00544188125059009	0.0257960185408592	-0.0278781652450562	-0.0719451308250427	-0.0663475096225739	-0.0110501544550061	0.0158297792077065	0.0311228204518557	-0.0194611772894859	-0.149165377020836	0.0190968364477158	0.0596941187977791	-0.0586523190140724	-0.0516170151531696	0.0313191413879395	-0.145774841308594	-0.0278858561068773	0.022731201723218	0.0123982792720199	0.00723008252680302	-0.104909688234329	0.120830558240414	-0.0239421185106039	-0.0082927830517292	-0.0734544098377228	-0.00886773504316807	-0.0653381198644638	0.180808678269386	0.0919290259480476	0.0476213097572327	0.0980605259537697	0.0934013947844505	0.00865758582949638	-0.0279423091560602	0.0206063706427813	-0.00724062509834766	0.0278739240020514	0.0299378763884306	0.0300201177597046	0.0304499715566635	0.0604703463613987	-0.0130549240857363	0.00768006173893809	-0.0502676330506802	0.0409278497099876	-0.0764259174466133	-0.050185564905405	-0.0450470559298992	-0.0660353377461433	-0.102606549859047	-0.105641275644302	-0.00909046735614538	0.000462761148810387	0.0896188169717789	-0.0488201640546322	0.1114886328578	0.0697857961058617	-0.0311553701758385	-0.0788855031132698	-0.0348462387919426	0.0404647700488567	0.0233849305659533	-0.067673534154892	-0.0583466254174709	0.0805086866021156	-0.00461486913263798	-0.00152820569928735	-0.106724396348	0.00454303435981274
InferredCov4	0.0675419270992279	0.0628023520112038	0.0127309300005436	0.00976492837071419	0.0393910333514214	0.119131676852703	0.109837219119072	0.0183382462710142	-0.0553845725953579	0.0359671823680401	-0.0971916988492012	0.00758663285523653	0.0260465610772371	0.0184515975415707	-0.16837877035141	-0.0121347224339843	0.0866860523819923	0.0711388736963272	0.0526307187974453	0.105618678033352	0.0252781938761473	-0.0762981250882149	0.0654356405138969	0.139950051903725	-0.00887702032923698	0.0158226750791073	-0.0151001429185271	0.0674267336726189	0.0618540681898594	0.00491479504853487	-0.0132569624111056	0.0208876226097345	0.0632957443594933	0.00692753260955215	-0.0329964868724346	0.0337621308863163	0.0409645028412342	-0.00422942824661732	-0.0466338545084	0.100822769105434	-0.0415690168738365	-0.0350823104381561	0.13369520008564	-0.0704723075032234	-0.0832894816994667	0.0337169878184795	0.0208062343299389	-0.0277127027511597	0.162331327795982	-0.0983816459774971	-0.0560132637619972	-0.000315248500555754	-0.0691996589303017	0.0223653148859739	-0.101011052727699	-0.061197753995657	0.0618820749223232	-0.110368460416794	-0.0615431629121304	-0.155676811933517	0.0348749123513699	0.0150300478562713	-0.0526184849441051	-0.0982498899102211	-0.0156609490513802	0.144291609525681	-0.0119098154827952	-0.0540844388306141	-0.0330660715699196	-0.0330272987484932	-0.0948658958077431	0.0189374499022961	-0.010430053807795	-0.029250830411911	-0.0553650557994843	-0.082148551940918	0.00133706792257726	0.0482663214206696	0.0614669136703014	-0.0483142100274563	-0.0868408232927322	0.0377122722566128	0.101997159421444	0.00186127482447773	0.00148896616883576	0.0512545518577099	0.0974188596010208	0.013254233635962	-0.0414264835417271	0.075104795396328	-0.0464615561068058	-0.00446419790387154	0.129905626177788	0.0288733225315809	0.0449124462902546	0.0362293049693108	-0.0690791234374046	0.0314890183508396	-0.067028135061264	-0.0149918925017118	-0.0371601544320583	-0.0234348531812429	0.0989668741822243	0.0182636771351099	0.0287372246384621	0.0191386938095093	-0.00229618372395635	0.115044824779034	-0.065678134560585	-0.0876489728689194	-0.0390644110739231	-0.0795982182025909	-0.00862359721213579	-0.117143996059895	0.0115974806249142	-0.0445201471447945	-0.106868147850037	-0.0299104359000921	-0.00556968385353684	-0.0125634353607893	0.0156992971897125	-0.0338265411555767	0.0564713142812252	-0.106842905282974	0.0520130284130573	-0.0729062110185623
InferredCov5	0.00826123543083668	-0.0507695861160755	0.0905840322375298	0.112208113074303	0.17477622628212	-0.0525874719023705	-0.161704689264297	0.0519372597336769	-0.116143546998501	0.0614464990794659	-0.0993101447820663	-0.046324010938406	0.139476358890533	0.0439779944717884	-0.0654744207859039	0.0738426521420479	-0.0460108704864979	0.0366038978099823	0.121002495288849	0.138668149709702	0.0289667174220085	0.0992550924420357	-0.00215532607398927	-0.0256131961941719	0.133149668574333	-0.0391377210617065	0.088850699365139	-0.00159876979887486	-0.0221161562949419	-0.0113949980586767	-0.0252839103341103	0.0192054882645607	0.0204228758811951	0.0118106752634048	-0.0542975626885891	0.00463038496673107	0.0319028906524181	0.0238551925867796	-0.0380986854434013	0.0197639595717192	0.0248711165040731	0.0864341333508492	0.0722796693444252	0.0379895716905594	0.0494853258132935	-0.021831339225173	0.0336488261818886	0.0129765952005982	-0.101233348250389	-0.0355834439396858	0.0287974011152983	0.0263178423047066	0.0588694624602795	-0.119208782911301	-0.0373216085135937	-0.0127246417105198	-0.0251338258385658	-0.0125398142263293	-0.0718211457133293	0.0685824826359749	-0.017876273021102	-0.0892111361026764	0.0217771027237177	-0.0955995172262192	0.134439215064049	-0.0675524473190308	-0.0979048907756805	-0.0569661110639572	-0.0307100955396891	0.114038467407227	0.0224887393414974	-0.0653380677103996	-0.0879310816526413	0.0590909793972969	-0.0303445272147655	0.0121183423325419	0.0211739167571068	-0.0274612158536911	-0.0263675730675459	-0.0255533661693335	0.0544547699391842	-0.165660545229912	0.118145957589149	0.0198870059102774	-0.109006159007549	-0.0139138922095299	-0.0366299077868462	-0.0539552308619022	-0.0756473988294601	0.0137701369822025	0.153487160801888	-0.0459520220756531	0.0112812677398324	-0.0170157551765442	0.146607860922813	0.0272773802280426	-0.0032731513492763	-0.0849223434925079	0.0600031241774559	-0.0909111201763153	0.0995102226734161	-0.00833888631314039	-0.0555956065654755	-0.0207301583141088	-0.00729753402993083	-0.0548292100429535	0.00603521801531315	-0.0155901629477739	-0.045361902564764	0.0229299943894148	-0.11432209610939	-0.0425745695829391	-0.0343243107199669	-0.013511055149138	0.000616356846876442	-0.00301426462829113	-0.0652280449867249	0.0375377759337425	-0.101866729557514	0.000102763100585435	0.0540908873081207	-0.0127419708296657	0.0589123629033566	-0.00163612049072981	0.00785215105861425	0.000731732579879463
