ID	GTEX-1122O	GTEX-11EM3	GTEX-11EMC	GTEX-11EQ9	GTEX-11I78	GTEX-11P7K	GTEX-11TT1	GTEX-11VI4	GTEX-11ZTT	GTEX-1211K	GTEX-1212Z	GTEX-12696	GTEX-1269C	GTEX-12C56	GTEX-12WSJ	GTEX-12WSL	GTEX-12WSN	GTEX-13111	GTEX-132QS	GTEX-1399R	GTEX-1EKGG	GTEX-1EMGI	GTEX-1EU9M	GTEX-1EWIQ	GTEX-1F48J	GTEX-1F52S	GTEX-1F5PK	GTEX-1F6I4	GTEX-1F75I	GTEX-1FIGZ	GTEX-1GF9U	GTEX-1GF9X	GTEX-1GMR2	GTEX-1GMR3	GTEX-1GMR8	GTEX-1GMRU	GTEX-1GN2E	GTEX-1GTWX	GTEX-1GZ4H	GTEX-1I4MK	GTEX-RUSQ	GTEX-S4Q7	GTEX-S95S	GTEX-SN8G	GTEX-SNOS	GTEX-SSA3	GTEX-SUCS	GTEX-T5JC	GTEX-T5JW	GTEX-T6MN	GTEX-T6MO	GTEX-TKQ1	GTEX-TKQ2	GTEX-TML8	GTEX-TMZS	GTEX-U3ZG	GTEX-U3ZH	GTEX-U3ZM	GTEX-U3ZN	GTEX-UPJH	GTEX-UPK5	GTEX-V1D1	GTEX-V955	GTEX-VJYA	GTEX-VUSG	GTEX-VUSH	GTEX-W5WG	GTEX-W5X1	GTEX-WCDI	GTEX-WEY5	GTEX-WFG7	GTEX-WFG8	GTEX-WFJO	GTEX-WFON	GTEX-WH7G	GTEX-WHPG	GTEX-WHSB	GTEX-WHWD	GTEX-WOFM	GTEX-WRHK	GTEX-WWTW	GTEX-WXYG	GTEX-WY7C	GTEX-WYVS	GTEX-WZTO	GTEX-X15G	GTEX-X3Y1	GTEX-X4EO	GTEX-X4EP	GTEX-X4LF	GTEX-X585	GTEX-X5EB	GTEX-X638	GTEX-X88G	GTEX-XBED	GTEX-XBEW	GTEX-XGQ4	GTEX-XLM4	GTEX-XMK1	GTEX-XPT6	GTEX-XQ3S	GTEX-XUYS	GTEX-XXEK	GTEX-XYKS	GTEX-Y114	GTEX-Y3IK	GTEX-Y5LM	GTEX-Y5V5	GTEX-Y5V6	GTEX-Y8DK	GTEX-Y8E4	GTEX-Y8E5	GTEX-Y8LW	GTEX-Y9LG	GTEX-YB5E	GTEX-YB5K	GTEX-YEC3	GTEX-YEC4	GTEX-YF7O	GTEX-ZC5H	GTEX-ZDTS	GTEX-ZDTT	GTEX-ZEX8	GTEX-ZF29	GTEX-ZF2S	GTEX-ZF3C	GTEX-ZG7Y	GTEX-ZLV1	GTEX-ZLWG	GTEX-ZP4G	GTEX-ZPCL	GTEX-ZPIC	GTEX-ZPU1	GTEX-ZQG8	GTEX-ZQUD	GTEX-ZT9W	GTEX-ZT9X	GTEX-ZTPG	GTEX-ZTSS	GTEX-ZTTD	GTEX-ZTX8	GTEX-ZUA1	GTEX-ZV6S	GTEX-ZV7C	GTEX-ZVT2	GTEX-ZVZP	GTEX-ZXES
PC1	 0.0139	 0.0145	 0.0141	 0.0135	 0.0140	-0.0998	-0.0217	 0.0140	 0.0144	 0.0149	 0.0137	 0.0149	 0.0145	 0.0143	 0.0148	 0.0145	 0.0146	 0.0065	-0.0087	 0.0165	 0.0157	-0.0949	 0.0148	 0.0143	 0.0123	 0.0070	 0.0148	-0.0876	-0.0920	 0.0152	 0.0136	-0.0038	-0.0793	 0.0159	 0.0157	 0.0154	 0.0142	 0.0135	-0.0758	 0.0148	 0.0158	 0.0070	 0.0146	 0.0146	-0.0634	-0.0915	 0.0168	 0.0140	 0.0130	 0.0144	 0.0142	-0.0588	 0.0148	-0.0662	 0.0135	 0.0157	 0.0104	 0.0149	 0.0135	 0.0141	 0.0153	 0.0146	 0.0159	-0.1004	 0.0163	-0.0996	 0.0148	-0.0992	-0.0994	 0.0143	 0.0119	 0.0147	 0.0145	 0.0149	 0.0152	 0.0039	 0.0142	 0.0148	 0.0149	 0.0137	 0.0149	-0.0965	 0.0139	 0.0138	 0.0105	 0.0153	-0.0887	 0.0146	 0.0128	 0.0140	-0.1073	 0.0136	-0.0948	-0.0979	 0.0136	 0.0080	 0.0148	 0.0149	 0.0126	 0.0139	 0.0140	-0.0949	 0.0143	-0.1007	-0.1079	-0.0831	 0.0148	 0.0158	 0.0148	 0.0148	 0.0071	-0.0916	 0.0144	 0.0155	-0.0257	 0.0137	 0.0147	 0.0141	 0.0140	 0.0148	 0.0144	 0.0153	 0.0089	 0.0141	 0.0148	 0.0146	 0.0142	 0.0137	-0.0583	 0.0155	 0.0152	 0.0153	-0.0853	 0.0153	-0.0898	 0.0143	 0.0159	 0.0130	 0.0159	 0.0145	-0.0734	 0.0154	 0.0137	-0.0822	 0.0157	 0.0149	 0.0125
PC2	-0.0097	-0.0059	-0.0025	-0.0064	-0.0074	-0.0125	-0.0089	-0.0072	-0.0046	-0.0040	-0.0022	-0.0065	-0.0069	-0.0040	-0.0042	-0.0060	-0.0085	 0.0228	 0.1042	-0.0069	-0.0057	-0.0159	-0.0040	-0.0045	-0.0014	-0.0013	-0.0046	-0.0120	-0.0148	-0.0087	-0.0070	 0.0829	-0.0044	-0.0076	-0.0099	-0.0080	-0.0078	-0.0057	-0.0142	-0.0060	-0.0051	 0.0021	-0.0055	-0.0051	-0.0166	-0.0118	-0.0061	-0.0038	-0.0039	-0.0075	-0.0017	-0.0107	-0.0070	 0.0007	-0.0080	-0.0057	-0.0035	-0.0013	-0.0067	-0.0072	-0.0059	-0.0061	-0.0048	-0.0144	-0.0101	-0.0143	-0.0042	-0.0129	-0.0179	-0.0097	-0.0003	-0.0057	-0.0021	-0.0101	-0.0049	 0.0511	-0.0040	-0.0055	-0.0042	-0.0018	-0.0105	-0.0156	-0.0067	-0.0053	 0.0004	-0.0032	-0.0123	-0.0039	-0.0065	-0.0028	-0.0201	-0.0121	-0.0111	-0.0161	-0.0057	-0.0016	-0.0019	-0.0060	-0.0041	-0.0084	-0.0060	-0.0132	-0.0061	-0.0096	-0.0163	-0.0129	-0.0051	-0.0019	-0.0052	-0.0074	-0.0002	-0.0197	-0.0039	-0.0037	-0.0050	-0.0094	-0.0061	-0.0044	-0.0068	-0.0006	-0.0077	-0.0056	-0.0035	-0.0031	-0.0057	-0.0031	-0.0064	-0.0034	-0.0045	-0.0010	-0.0082	-0.0057	-0.0079	-0.0078	-0.0139	-0.0061	-0.0005	-0.0042	-0.0065	-0.0036	-0.0101	-0.0060	-0.0056	-0.0080	-0.0076	-0.0068	-0.0068
PC3	 0.0067	 0.0096	-0.0036	-0.0041	-0.0128	 0.0128	 0.0094	-0.0016	 0.0131	 0.0215	-0.0015	 0.0167	 0.0062	 0.0122	-0.0041	 0.0110	 0.0226	-0.1056	-0.0740	 0.0400	 0.0055	 0.0040	 0.0212	-0.0183	-0.0480	-0.1507	 0.0128	 0.0063	 0.0119	 0.0094	 0.0034	-0.0205	 0.0023	 0.0080	 0.0188	 0.0191	 0.0020	 0.0125	-0.0005	 0.0154	 0.0095	-0.1704	 0.0080	 0.0166	 0.0067	 0.0059	 0.0015	 0.0323	 0.0115	 0.0227	 0.0241	-0.0059	 0.0009	-0.0164	 0.0065	 0.0393	-0.0038	 0.0062	-0.0025	 0.0081	 0.0083	 0.0152	 0.0193	 0.0040	 0.0252	 0.0059	 0.0069	 0.0102	-0.0050	 0.0057	-0.0759	 0.0161	 0.0117	 0.0016	 0.0069	 0.0192	 0.0115	-0.0003	 0.0281	-0.0122	 0.0089	 0.0019	 0.0187	 0.0135	-0.0576	 0.0209	 0.0065	 0.0078	 0.0173	-0.0349	 0.0051	 0.0142	 0.0043	-0.0001	 0.0038	-0.1416	 0.0132	 0.0130	 0.0225	 0.0182	 0.0331	-0.0041	 0.0142	 0.0030	 0.0060	 0.0107	 0.0052	 0.0102	 0.0201	 0.0060	-0.1421	 0.0105	-0.0079	 0.0101	 0.0002	-0.0038	 0.0183	 0.0167	 0.0161	 0.0457	 0.0130	 0.0066	-0.1092	 0.0222	 0.0058	-0.0015	 0.0154	 0.0049	 0.0191	 0.0048	-0.0046	 0.0394	-0.0018	 0.0171	 0.0145	 0.0057	 0.0375	-0.0206	-0.0024	 0.0081	 0.0115	 0.0068	-0.0300	 0.0031	-0.0097	-0.0161	 0.0241
PC4	-0.0144	 0.0145	 0.0053	 0.0020	 0.0014	 0.0210	 0.0102	-0.0007	-0.0084	-0.0127	-0.0128	-0.0067	-0.0129	-0.0061	 0.0114	-0.0075	 0.0014	 0.0190	 0.0232	 0.0145	-0.0023	 0.0162	 0.0010	-0.0038	-0.0014	 0.0103	-0.0106	 0.0088	 0.0081	-0.0094	 0.0072	-0.2164	-0.0175	 0.0071	 0.0110	-0.0067	 0.0111	 0.0057	 0.0158	 0.0143	-0.0144	 0.0160	 0.0166	-0.0021	 0.0042	 0.0045	-0.0001	 0.0169	 0.0027	-0.0134	-0.0106	 0.0014	-0.0104	-0.0302	 0.0130	-0.0006	 0.0112	 0.0018	-0.0166	-0.0014	 0.0179	 0.0012	-0.0068	 0.0029	 0.0053	-0.0085	-0.0037	 0.0144	 0.0143	 0.0005	 0.0057	 0.0016	 0.0106	 0.0049	 0.0083	-0.1479	 0.0020	-0.0096	 0.0083	-0.0101	-0.0018	 0.0015	 0.0107	-0.0133	 0.0135	-0.0074	-0.0001	 0.0129	 0.0234	-0.0047	 0.0083	 0.0044	-0.0013	 0.0076	 0.0116	 0.0131	-0.0150	 0.0166	-0.0016	-0.0130	 0.0170	 0.0011	 0.0003	-0.0011	 0.0066	 0.0032	 0.0091	-0.0011	-0.0090	 0.0055	 0.0056	 0.0103	-0.0074	 0.0029	 0.0049	 0.0188	 0.0089	-0.0056	-0.0015	 0.0113	-0.0068	-0.0104	 0.0057	-0.0032	 0.0025	-0.0030	-0.0024	 0.0132	-0.0048	-0.0022	 0.0015	 0.0016	-0.0190	 0.0059	-0.0034	 0.0057	 0.0184	-0.0156	-0.0011	 0.0419	-0.0082	 0.0029	 0.0148	-0.0011	-0.0080	-0.0064	 0.0198
PC5	 0.0296	 0.0263	 0.0064	-0.0016	 0.0086	-0.0015	 0.0211	 0.0127	 0.0365	 0.0282	-0.0098	 0.0151	 0.0076	 0.0133	-0.0076	 0.0148	 0.0179	-0.0377	-0.0633	-0.0514	 0.0197	 0.0109	 0.0467	 0.0006	-0.0040	 0.0032	-0.0092	-0.0041	 0.0207	 0.0197	 0.0169	-0.0256	-0.0222	-0.0003	 0.0320	 0.0254	 0.0159	 0.0309	-0.0023	 0.0425	 0.0335	-0.0096	 0.0257	 0.0333	 0.0036	 0.0033	-0.0040	-0.0210	 0.0150	-0.0012	 0.0114	 0.0065	 0.0139	 0.0094	 0.0247	-0.0021	 0.0035	-0.0398	 0.0486	 0.0201	-0.0248	 0.0050	 0.0264	-0.0084	 0.0320	-0.0013	 0.0223	-0.0116	 0.0024	 0.0089	 0.0304	 0.0073	 0.0332	 0.0215	 0.0241	-0.0055	 0.0334	 0.0244	-0.0062	-0.0086	 0.0061	 0.0011	-0.0048	 0.0399	-0.0152	 0.0196	 0.0047	-0.0028	 0.0010	 0.0009	-0.0047	 0.0138	 0.0079	-0.0113	 0.0019	-0.0096	 0.0175	 0.0504	 0.0085	 0.0063	-0.0895	-0.0037	 0.0081	-0.0059	-0.0102	-0.0042	 0.0002	 0.0032	 0.0281	 0.0096	 0.0176	 0.0044	 0.0076	-0.0004	 0.0085	 0.0127	 0.0175	 0.0105	-0.0103	-0.0370	 0.0107	 0.0183	 0.0045	 0.0237	 0.0171	 0.0056	 0.0286	 0.0152	-0.0080	 0.0326	 0.0173	-0.0081	-0.0022	 0.0115	-0.0063	-0.0433	-0.0447	-0.0024	 0.0185	-0.0309	 0.0249	 0.0008	 0.0177	 0.0114	 0.0133	-0.0157	 0.0098
InferredCov1	-0.0209433324635029	0.0236796755343676	-0.074340894818306	0.0104860374704003	0.0693315714597702	-0.0224226638674736	0.0238232892006636	0.00657905964180827	-0.0898236408829689	0.00124561332631856	-0.100921601057053	-0.0880634561181068	-0.0843147486448288	-0.0826960355043411	-0.0191926825791597	-0.0491224490106106	0.00513565028086305	0.0046025300398469	0.0409748218953609	-0.0156959686428308	-0.0871345177292824	-0.0806988030672073	0.0508532822132111	0.0703882798552513	-0.0963477715849876	-0.053586732596159	-0.0470728650689125	-0.0931964516639709	-0.00935198925435543	0.00570533750578761	-0.0917463824152946	-0.0822399631142616	-0.0551188588142395	0.0137492343783379	0.03321672976017	-0.0724860802292824	-0.0642549470067024	-0.0234972834587097	-0.0580572225153446	-0.0808418020606041	0.123151414096355	0.12111509591341	0.0127718346193433	0.107621543109417	0.0249200202524662	0.0335241071879864	0.0424658991396427	0.0791749954223633	0.0172281879931688	-0.0133291585370898	-0.0300959758460522	-0.0188745148479939	0.0337054245173931	-0.0596767887473106	-0.0111126005649567	0.0134511161595583	-0.0141140865162015	-0.0104247834533453	0.0563523657619953	-0.03062535636127	-0.0008133968221955	0.0576906427741051	0.0552296675741673	0.0624066367745399	0.0198584701865911	-0.0977844446897507	-0.0826483145356178	0.0218970719724894	0.0394127741456032	0.0105196721851826	-0.0959838256239891	0.0203604847192764	0.0244129654020071	0.0257192607969046	-0.0378758236765862	0.0612465403974056	0.108158759772778	-0.0157122574746609	0.0249859001487494	0.0168684273958206	-0.00727672455832362	-0.00798925291746855	0.0374599471688271	-0.0366821065545082	-0.0400720871984959	0.0652505531907082	-0.0297282300889492	0.0146465776488185	-0.0074933897703886	0.060990359634161	-0.0877079144120216	0.0582138225436211	0.0158716514706612	-0.00407096277922392	0.012915956787765	0.0192580670118332	0.0519557893276215	-0.0616270676255226	0.0232512094080448	0.0397212095558643	0.0698625296354294	0.0368641875684261	0.0433957539498806	0.017219927161932	-0.0355668216943741	0.0264862347394228	0.0213988870382309	-0.00916007813066244	0.0150731569156051	0.104862920939922	0.0359977185726166	0.0206432919949293	0.0445362888276577	0.0395781695842743	-0.00865861028432846	-0.0549715273082256	0.0309912301599979	0.00828694738447666	-0.106982029974461	-0.0359830930829048	-0.0473127029836178	0.0756874307990074	0.00699767004698515	0.0814744830131531	0.0720710307359695	-0.0190907046198845	0.0167290009558201	-0.0166494101285934	-0.010064659640193	0.0110973715782166	-0.03782057762146	-0.00560945179313421	0.0165120679885149	0.0359304994344711	0.0131700234487653	0.00333037343807518	-0.019688181579113	0.0357315056025982	0.0501633621752262	0.0236630495637655	0.00616879062727094	-0.0020997307728976	-0.0438957512378693	0.0974800437688828	-0.0425112769007683	-0.0324723310768604	-0.0555279366672039
InferredCov2	0.0493073351681232	-0.0175635013729334	0.0513324551284313	0.0285111255943775	0.0148271201178432	-0.0923554748296738	-0.168167382478714	-0.0749484151601791	-0.155486509203911	-0.138167381286621	-0.0328376181423664	-0.0201923400163651	-0.1579280346632	-0.0863806083798409	-0.0657273307442665	0.0425538495182991	0.0122605478391051	-0.0452408231794834	0.0459158718585968	0.050241693854332	0.0646633356809616	0.0726464316248894	-0.00311573012731969	0.0151000050827861	0.0540673322975636	0.0641743019223213	0.0552126988768578	0.0491986721754074	0.0441871173679829	0.0671750903129578	0.0651233494281769	0.082304410636425	0.0496246442198753	0.0420333445072174	0.0265338290482759	0.021707758307457	-0.0468640215694904	0.0342447049915791	0.0186844021081924	-0.00371667672879994	-0.0207977350801229	-0.0356196686625481	-0.00354318856261671	-0.0191375892609358	-0.0053059826605022	0.0520550087094307	0.00733473524451256	0.0262156892567873	-0.0405038185417652	0.0230728518217802	0.0311447959393263	0.0156027358025312	-0.0641471669077873	0.00689818011596799	-0.0285106133669615	0.039687741547823	-0.00871805101633072	0.00226455531083047	-0.0420401655137539	-0.0412853620946407	0.0676282644271851	0.000367034052032977	0.00925681926310062	0.0200427733361721	-0.0011753219878301	-0.00935453176498413	0.0206658355891705	-0.00419154856353998	0.0519587695598602	0.0232615973800421	0.0193861909210682	0.0583352781832218	0.0115536246448755	-0.0027091121301055	0.0328804142773151	0.0367908589541912	0.0052493317052722	0.0604328066110611	0.0666451752185822	0.00449639325961471	0.0132992090657353	0.0471869595348835	-0.0116002103313804	0.0320832468569279	0.0721041858196259	0.0558202937245369	0.0947211161255836	0.0234263297170401	0.0381952486932278	0.0356023758649826	0.0678651928901672	0.0482056587934494	0.0819712057709694	0.0613465458154678	0.0153396306559443	0.054473552852869	0.000464677636045963	0.0706669464707375	0.0127336736768484	0.00558546977117658	-0.0030110024381429	0.0367008559405804	-0.026112949475646	0.0189622435718775	0.0652576386928558	-0.05634855479002	0.0733241811394691	0.034928023815155	0.0354049541056156	-0.00290018017403781	0.0355956926941872	0.0790410563349724	0.0485781729221344	0.0429249703884125	0.0281936898827553	0.0495761297643185	-0.238908275961876	0.0152448462322354	-0.205613121390343	-0.0433062985539436	0.0275738500058651	0.00270496541634202	-0.0640433952212334	-0.00818207766860723	-0.0106669617816806	-0.0682102516293526	-0.0524252727627754	-0.0661362633109093	-0.112226985394955	-0.134316101670265	-0.0887834429740906	-0.0576259791851044	-0.0862924084067345	-0.0879577174782753	0.0116293570026755	-0.068129688501358	-0.0273838099092245	-0.0488730520009995	-0.0627192407846451	-0.029526898637414	0.0173468571156263	-0.0156129896640778	-0.0120275337249041	0.0138858957216144	-0.0510652586817741	-0.0326505824923515	-0.0722935795783997
InferredCov3	0.041021391749382	0.0348041951656342	0.0639856234192848	0.00438972981646657	0.122952722012997	0.0463642403483391	0.0206059999763966	0.0673606917262077	-0.0234226696193218	-0.0195012241601944	0.0611808113753796	0.0823585838079453	-0.037702813744545	-0.0408533476293087	0.052841279655695	0.118381828069687	0.12505304813385	0.0305422302335501	0.0997824519872665	0.0802090167999268	0.0192464273422956	0.0685975477099419	0.0922184064984322	0.0913333222270012	0.06669881939888	0.0696352124214172	0.0208250265568495	0.0326845198869705	-0.0299889836460352	0.0142093831673265	0.0418181531131268	0.0630003660917282	-0.0395588912069798	0.0296917986124754	0.061193972826004	0.0116164777427912	0.0346864424645901	0.0539920255541801	0.0133721642196178	0.103861950337887	-0.0271982122212648	0.0640905499458313	0.0540463216602802	0.0296559184789658	-0.0226301942020655	-0.145115837454796	-0.0334581546485424	0.0973498001694679	0.00569578260183334	-0.0362658202648163	-0.0157060287892818	-0.0421583838760853	0.0123978657647967	0.0176168456673622	-0.0363757573068142	-0.177389681339264	-0.0289949160069227	-0.157812625169754	0.0777958333492279	0.0115379896014929	0.0480101183056831	-0.0297828186303377	-0.0640787035226822	-0.0126712387427688	0.0337715335190296	-0.0235298480838537	0.0191407948732376	-0.101376257836819	-0.116242945194244	-0.100106857717037	-0.0446949563920498	-0.0725073367357254	-0.067208357155323	-0.0815900266170502	-0.0998016744852066	0.0243683364242315	0.112017899751663	0.0630062073469162	0.0198025349527597	-0.110349386930466	-0.0338837020099163	-0.0744005814194679	-0.0892493203282356	-0.0687652677297592	0.0119989719241858	-0.0538346245884895	-0.0241636447608471	-0.0275950096547604	-0.00550131127238274	0.0220931768417358	-0.00499917240813375	-0.0111580621451139	-0.0298681240528822	-0.017385920509696	0.000959819997660816	-0.0766972452402115	-0.0255074948072433	-0.0107581252232194	0.0313089452683926	0.0910687819123268	-0.0135534489527345	-0.0277331788092852	-0.00132463430054486	-0.0466381385922432	-0.0617842823266983	-0.0625719428062439	-0.0577063709497452	0.00330656860023737	-0.013238275423646	-0.0138282421976328	0.0105418581515551	-0.0704404637217522	-0.00511750439181924	-0.0272322297096252	-0.0875305607914925	-0.0219519380480051	-0.0314901061356068	-0.0339456088840961	-0.0485266521573067	-0.05808050557971	-0.0566022247076035	-0.01905158162117	0.065317265689373	0.0456110537052155	-0.013863411732018	-0.0920921787619591	-0.0370367579162121	-0.0672590285539627	-0.00311712268739939	-0.0390017665922642	0.00875026360154152	-0.0961031541228294	-0.0454053543508053	0.0154532920569181	0.0658026114106178	0.0829961076378822	0.0507873967289925	0.028386453166604	0.17108054459095	0.0230023935437202	0.00106561020947993	0.115910798311234	0.0738145336508751	0.0265545286238194	-0.0406865067780018	-0.0234493277966976	0.0242695417255163
InferredCov4	0.00231564021669328	-0.0523492880165577	0.0634450986981392	-0.0362577103078365	-0.088419035077095	-0.0894024595618248	-0.0364448204636574	-0.0522870421409607	-0.0942621380090714	-0.0929882675409317	-0.00763173867017031	-0.0137836569920182	-0.0102626252919436	-0.0583156161010265	-0.0918234437704086	-0.0385172963142395	-0.0767364650964737	0.0115549629554152	0.0595652125775814	-0.00361962453462183	0.0117871407419443	0.0169504638761282	0.087848111987114	0.0335059277713299	0.024717103689909	0.0573488362133503	-0.0197810903191566	0.0213620271533728	0.00743878679350019	-0.0672653019428253	0.0444480329751968	0.0411526523530483	-0.0160146988928318	0.0431026853621006	0.113997049629688	-0.0155459884554148	0.0624772161245346	-0.103315964341164	0.100416742265224	0.0197731796652079	-0.0489152073860168	-0.0234538745135069	-0.0136997578665614	-0.0764081180095673	-0.106642007827759	-0.080653689801693	-0.068726159632206	-0.09380242228508	0.0548118427395821	-0.109637647867203	-0.0521151572465897	0.00194801157340407	-0.0856066420674324	-0.0687473267316818	0.000514712417498231	-0.00238297856412828	0.00378188746981323	0.108799666166306	-0.0721239745616913	0.0705259591341019	-0.10418551415205	0.0299504436552525	-0.0163337085396051	0.0139485308900476	0.102866366505623	-0.0168918743729591	0.011179487220943	-0.0528402104973793	-0.127353891730309	-0.00621527340263128	0.0588937476277351	0.0775426253676414	0.0977710485458374	0.0776083171367645	0.1030113697052	-0.0480792820453644	0.0521658584475517	-0.00852468237280846	0.0319562219083309	-0.0350782908499241	-0.0588990300893784	-0.0941457748413086	0.00330502726137638	0.0280481763184071	-0.031524945050478	0.0214847773313522	-0.0962498262524605	-0.076765701174736	0.0368497967720032	-0.0412551052868366	0.0505561642348766	-0.0146579882130027	0.0179073829203844	-0.0909197926521301	0.0490350238978863	-0.0916222929954529	0.0139790242537856	-0.118351966142654	-0.00504378834739327	0.054204985499382	0.0921412333846092	-0.00134112650994211	0.028868829831481	0.128548741340637	-0.0636076927185059	0.0425147265195847	0.105067536234856	0.0424578599631786	0.134038954973221	0.136720910668373	0.119028024375439	-0.0498163215816021	0.0454118140041828	-0.10950979590416	0.0382509529590607	0.0486527383327484	0.0326497778296471	-0.00703917676582932	-0.0389076247811317	0.116902031004429	0.0175368413329124	0.0477663539350033	0.111474007368088	0.0582137070596218	0.0371242575347424	0.0978733450174332	-0.0592085905373096	-0.0236065629869699	0.0559777691960335	0.0782300606369972	-0.0057583749294281	0.00395062239840627	-0.0305590536445379	0.00812882836908102	-0.096655547618866	0.0856809839606285	-0.0166011918336153	-0.0807357579469681	0.0996685475111008	0.0370273031294346	-0.0270363576710224	-0.041700754314661	-0.0240796152502298	-0.0956424549221992	-0.000283781962934881	0.0261322539299726	0.0122846299782395
InferredCov5	-0.0638295561075211	0.0148421693593264	0.0268490090966225	-0.039556872099638	-0.042081393301487	0.0717189833521843	-0.00206493865698576	-0.0220999512821436	-0.0144119476899505	-0.00610527908429503	-0.00628434959799051	0.0414434932172298	0.0815700367093086	0.0279728639870882	-0.0440844371914864	0.0481724105775356	0.0818815752863884	0.0917047336697578	-0.0661377459764481	0.0124939549714327	0.044372919946909	-0.0060922265984118	-0.000521851819939911	0.0607870817184448	-0.0196285210549831	0.0383333824574947	0.0628295242786407	-0.0349888540804386	0.0196333285421133	-0.0033826136495918	-0.0718095004558563	-0.0967663004994392	-0.104785583913326	-0.00342383561655879	-0.0479565300047398	0.00276881735771894	0.0254573095589876	-0.0537312962114811	-0.104748792946339	-0.146727621555328	-0.117988705635071	-0.00493888836354017	0.0711677074432373	-0.101631209254265	0.142999440431595	0.147995829582214	0.056768175214529	-0.0305879898369312	0.0654825866222382	-0.122121430933475	-0.0849239900708199	0.00127006112597883	-0.055736418813467	-0.0538103356957436	0.018258074298501	0.10862273722887	-0.110024623572826	-0.0532684959471226	0.00824979227036238	0.0672341287136078	0.133697122335434	0.0105538070201874	-0.0829140171408653	-0.0381699167191982	-0.043480459600687	-0.103335104882717	-0.139711126685143	-0.143472790718079	0.0375875905156136	-0.0564424991607666	-0.109763011336327	0.0630078017711639	0.00333440490067005	-0.039070900529623	0.0666664242744446	-0.00800933595746756	0.0260590333491564	-0.0550021603703499	0.0183270238339901	-0.115918822586536	-0.000873574987053871	-0.0722124874591827	-0.0807754769921303	0.073373556137085	0.105355612933636	0.00217016460373998	0.0735502988100052	0.0630517527461052	0.0700788870453835	0.0189164597541094	0.0564065985381603	0.0358508862555027	-0.00639047333970666	0.0747813284397125	-0.0739844143390656	-0.0325942449271679	0.0971856042742729	0.0721084624528885	-0.0676891282200813	0.00732225365936756	-0.0342965945601463	-0.0276890359818935	-0.0362114459276199	0.0277280509471893	0.0200901255011559	0.0323492139577866	0.0925997719168663	0.0381316468119621	-0.00454093562439084	-0.077486477792263	0.0315907821059227	-0.0908532738685608	0.0265067964792252	-0.038350373506546	-0.0243748016655445	0.0307833831757307	-0.0465038269758224	-0.0727726966142654	0.0581765845417976	0.0941048711538315	0.0861860886216164	0.051464457064867	-0.0176531132310629	0.143459185957909	0.0776329785585403	0.0322958752512932	0.0616284385323524	0.0513745471835136	0.0644089728593826	0.00724470941349864	0.0243250168859959	-0.0769815221428871	-0.0231130458414555	-0.0453894920647144	0.0433466657996178	-0.0167398434132338	0.113909780979156	-0.0276271905750036	-0.0208211280405521	0.0148505568504333	0.0372302122414112	0.0917648673057556	-0.10200172662735	-0.0372886285185814	-0.0300265215337276	-0.0837222412228584	0.0200517419725657
