ID	GTEX-1117F	GTEX-113JC	GTEX-11DXX	GTEX-11EM3	GTEX-11EMC	GTEX-11GSP	GTEX-11I78	GTEX-11P81	GTEX-11ZTS	GTEX-11ZTT	GTEX-12WSD	GTEX-12WSG	GTEX-12WSK	GTEX-12ZZX	GTEX-1313W	GTEX-131XG	GTEX-131YS	GTEX-132AR	GTEX-1399S	GTEX-1399U	GTEX-139D8	GTEX-13D11	GTEX-13FTX	GTEX-13N11	GTEX-13OVI	GTEX-13OVJ	GTEX-13PL7	GTEX-13QBU	GTEX-13S7M	GTEX-13U4I	GTEX-13VXT	GTEX-13W3W	GTEX-14AS3	GTEX-14BIM	GTEX-14BIN	GTEX-14BMU	GTEX-14JG6	GTEX-14PJ6	GTEX-14PJM	GTEX-14PKV	GTEX-15CHC	GTEX-15DZA	GTEX-15ER7	GTEX-15ETS	GTEX-15FZZ	GTEX-16A39	GTEX-16NGA	GTEX-1A32A	GTEX-1A8FM	GTEX-1AMEY	GTEX-1B932	GTEX-1B97J	GTEX-1C475	GTEX-1CAMS	GTEX-1CB4H	GTEX-1GF9U	GTEX-1GMR8	GTEX-1GN1U	GTEX-1GN1W	GTEX-1GZ4H	GTEX-1GZHY	GTEX-1I4MK	GTEX-1ICG6	GTEX-1JN76	GTEX-1K9T9	GTEX-1KANC	GTEX-1LGOU	GTEX-1LGRB	GTEX-1LH75	GTEX-1MA7W	GTEX-1MCYP	GTEX-1NV5F	GTEX-1PBJI	GTEX-1PIEJ	GTEX-1QP28	GTEX-1R9JW	GTEX-1R9PN	GTEX-1S82U	GTEX-N7MT	GTEX-OHPL	GTEX-OHPN	GTEX-P4PP	GTEX-P4QT	GTEX-P78B	GTEX-POMQ	GTEX-PWCY	GTEX-PWN1	GTEX-PX3G	GTEX-Q734	GTEX-QCQG	GTEX-R55G	GTEX-RTLS	GTEX-RU1J	GTEX-RU72	GTEX-RWS6	GTEX-S32W	GTEX-S341	GTEX-S4UY	GTEX-S7SF	GTEX-T2IS	GTEX-T5JW	GTEX-T6MO	GTEX-TMMY	GTEX-TSE9	GTEX-U3ZN	GTEX-W5WG	GTEX-WEY5	GTEX-WI4N	GTEX-WWYW	GTEX-WXYG	GTEX-WYVS	GTEX-XUW1	GTEX-XUZC	GTEX-XV7Q	GTEX-XYKS	GTEX-Y114	GTEX-Y3IK	GTEX-YFC4	GTEX-YJ8O	GTEX-ZAJG	GTEX-ZAK1	GTEX-ZLWG	GTEX-ZP4G	GTEX-ZPIC	GTEX-ZTPG	GTEX-ZV6S	GTEX-ZVT2	GTEX-ZXES	GTEX-ZYVF
PC1	-0.0867	 0.0106	 0.0141	 0.0145	 0.0141	 0.0147	 0.0140	 0.0146	 0.0154	 0.0144	-0.1049	 0.0136	 0.0148	 0.0046	 0.0160	 0.0151	 0.0141	 0.0158	 0.0145	 0.0133	 0.0152	 0.0139	 0.0152	-0.0942	-0.0872	 0.0132	 0.0160	 0.0146	 0.0147	 0.0151	-0.0868	 0.0147	-0.0155	 0.0150	 0.0110	 0.0137	 0.0133	 0.0146	 0.0145	 0.0144	 0.0149	 0.0052	 0.0146	 0.0128	 0.0146	 0.0131	-0.0761	 0.0151	 0.0147	 0.0132	 0.0160	 0.0150	 0.0118	-0.0232	 0.0148	 0.0136	 0.0157	 0.0146	 0.0151	-0.0758	 0.0141	 0.0148	 0.0139	 0.0154	 0.0156	-0.1097	 0.0151	-0.0032	 0.0139	 0.0149	 0.0143	 0.0141	 0.0123	 0.0132	 0.0157	 0.0145	 0.0128	 0.0137	 0.0158	 0.0158	 0.0109	 0.0136	 0.0085	 0.0141	-0.0663	 0.0140	 0.0136	 0.0142	 0.0153	 0.0100	 0.0155	 0.0143	-0.0929	-0.0232	 0.0140	 0.0130	-0.1093	 0.0075	 0.0093	 0.0140	 0.0130	 0.0142	 0.0148	 0.0145	 0.0135	 0.0148	 0.0143	 0.0148	 0.0152	-0.0965	 0.0138	 0.0157	 0.0151	 0.0161	-0.1007	-0.1079	-0.0831	 0.0147	 0.0135	-0.0883	 0.0159	-0.0583	 0.0155	 0.0153	 0.0130	 0.0137	 0.0157	 0.0125	 0.0118
PC2	-0.0132	 0.0037	-0.0083	-0.0059	-0.0025	-0.0048	-0.0074	-0.0090	-0.0085	-0.0046	-0.0190	-0.0001	-0.0060	 0.0575	-0.0091	-0.0055	-0.0062	-0.0053	-0.0025	-0.0072	-0.0052	-0.0110	-0.0098	-0.0110	-0.0141	-0.0032	-0.0043	-0.0077	-0.0004	-0.0052	-0.0107	-0.0070	 0.2284	-0.0049	-0.0057	-0.0061	-0.0048	-0.0056	-0.0009	-0.0036	-0.0061	 0.0167	-0.0031	-0.0041	-0.0060	-0.0055	-0.0096	 0.0017	-0.0064	 0.0032	-0.0034	-0.0054	-0.0008	 0.2898	-0.0016	-0.0070	-0.0099	-0.0012	-0.0050	-0.0142	-0.0041	-0.0060	-0.0047	-0.0034	-0.0054	-0.0199	-0.0059	 0.0780	-0.0040	-0.0061	-0.0026	-0.0072	-0.0059	-0.0018	-0.0068	-0.0073	-0.0024	-0.0049	-0.0047	-0.0060	-0.0059	-0.0046	 0.0038	-0.0028	-0.0130	-0.0054	-0.0085	-0.0049	-0.0090	-0.0053	-0.0048	-0.0054	-0.0142	 0.2929	-0.0075	-0.0050	-0.0180	 0.0045	-0.0083	-0.0043	-0.0039	-0.0017	-0.0039	 0.0012	-0.0067	-0.0042	-0.0097	-0.0044	-0.0024	-0.0156	-0.0053	-0.0079	-0.0049	-0.0077	-0.0096	-0.0163	-0.0129	-0.0084	-0.0052	-0.0143	-0.0030	-0.0045	-0.0010	-0.0057	-0.0042	-0.0056	-0.0076	-0.0068	 0.0005
PC3	-0.0062	-0.0116	 0.0026	 0.0096	-0.0036	-0.0006	-0.0128	 0.0158	 0.0164	 0.0131	 0.0003	 0.0169	 0.0201	 0.0358	 0.0392	 0.0012	-0.0143	 0.0236	-0.0091	 0.0057	 0.0251	 0.0060	-0.0012	 0.0048	 0.0079	 0.0060	 0.0311	-0.0063	 0.0398	 0.0119	-0.0039	 0.0086	 0.0208	 0.0250	-0.0585	 0.0049	-0.0220	 0.0031	 0.0290	 0.0231	 0.0082	-0.0151	-0.0079	-0.0122	 0.0157	-0.0141	 0.0146	 0.0286	-0.0289	 0.0434	 0.0187	 0.0158	-0.0695	 0.0214	 0.0167	 0.0034	 0.0188	 0.0252	 0.0109	-0.0005	 0.0145	 0.0154	 0.0158	 0.0104	 0.0151	 0.0089	 0.0014	-0.0675	 0.0080	 0.0136	 0.0006	 0.0015	-0.0010	-0.0205	 0.0228	 0.0219	-0.0345	 0.0029	 0.0228	 0.0265	-0.0617	-0.0120	-0.1116	 0.0234	 0.0143	-0.0016	 0.0136	 0.0168	 0.0229	-0.0640	 0.0141	 0.0115	 0.0037	 0.0178	 0.0067	 0.0049	 0.0002	-0.1435	-0.0371	 0.0111	 0.0115	 0.0241	 0.0230	 0.0143	-0.0025	 0.0069	 0.0057	 0.0004	 0.0211	 0.0019	 0.0135	 0.0254	-0.0044	 0.0368	 0.0030	 0.0060	 0.0107	 0.0078	-0.0049	 0.0085	 0.0053	 0.0191	 0.0048	 0.0394	-0.0206	-0.0300	-0.0097	 0.0241	-0.0678
PC4	 0.0046	-0.0239	 0.0150	 0.0145	 0.0053	 0.0135	 0.0014	 0.0135	-0.0036	-0.0084	 0.0065	 0.0042	 0.0002	-0.1361	-0.0025	-0.0052	 0.0085	 0.0095	 0.0000	 0.0029	 0.0163	-0.0106	 0.0117	 0.0029	 0.0063	 0.0001	 0.0149	 0.0090	 0.0347	-0.0201	 0.0016	-0.0003	 0.0443	-0.0030	 0.0047	-0.0020	-0.0022	-0.0116	 0.0245	-0.0115	 0.0063	-0.0586	 0.0103	-0.0109	 0.0164	-0.0131	 0.0073	 0.0139	-0.0077	 0.0023	-0.0060	-0.0077	-0.0052	 0.0909	 0.0118	 0.0072	 0.0110	 0.0204	 0.0038	 0.0158	-0.0310	 0.0143	 0.0037	 0.0008	-0.0191	 0.0084	-0.0054	 0.0115	-0.0069	-0.0064	-0.0015	-0.0012	 0.0043	 0.0218	 0.0197	 0.0193	 0.0000	 0.0087	 0.0052	 0.0052	 0.0047	 0.0021	 0.0111	 0.0041	 0.0107	-0.0091	-0.0207	-0.0105	 0.0026	 0.0061	-0.0091	 0.0132	 0.0103	 0.0771	 0.0011	-0.0038	 0.0153	 0.0055	 0.0047	 0.0009	 0.0027	-0.0106	 0.0066	 0.0268	-0.0166	-0.0037	 0.0005	 0.0045	 0.0075	 0.0015	-0.0133	 0.0198	-0.0100	-0.0004	-0.0011	 0.0066	 0.0032	 0.0103	 0.0077	 0.0030	 0.0026	-0.0048	-0.0022	 0.0016	-0.0156	 0.0148	-0.0080	 0.0198	 0.0063
PC5	 0.0054	-0.0036	 0.0228	 0.0263	 0.0064	 0.0029	 0.0086	 0.0366	 0.0378	 0.0365	-0.0034	-0.0041	 0.0250	 0.0018	 0.0089	-0.0012	 0.0079	-0.0426	 0.0197	 0.0208	-0.0383	 0.0113	 0.0314	 0.0049	-0.0079	 0.0263	-0.1417	 0.0336	-0.1297	 0.0020	-0.0003	 0.0423	 0.0063	 0.0132	 0.0094	 0.0141	 0.0199	 0.0099	-0.1005	 0.0367	 0.0370	-0.0057	 0.0279	 0.0342	 0.0190	 0.0324	 0.0152	-0.0979	-0.0016	-0.0288	-0.0091	 0.0455	-0.0049	 0.0326	 0.0048	 0.0169	 0.0320	-0.1341	 0.0207	-0.0023	 0.0224	 0.0425	 0.0059	 0.0230	 0.0384	-0.0089	 0.0125	-0.0366	 0.0098	 0.0093	 0.0136	-0.0027	-0.0412	-0.0140	-0.0025	 0.0173	-0.0045	-0.0084	 0.0059	 0.0304	-0.0043	 0.0307	-0.0987	-0.0441	 0.0025	 0.0335	 0.0058	 0.0240	 0.0556	 0.0154	 0.0074	-0.0368	-0.0056	 0.0313	 0.0395	 0.0110	-0.0044	 0.0033	-0.0139	-0.0173	 0.0150	 0.0114	-0.0339	-0.1128	 0.0486	 0.0223	 0.0089	-0.0097	-0.0535	 0.0011	 0.0399	-0.0816	 0.0318	 0.0392	-0.0059	-0.0102	-0.0042	 0.0417	 0.0057	 0.0059	 0.0265	-0.0080	 0.0326	-0.0081	-0.0024	 0.0177	 0.0133	 0.0098	 0.0326
InferredCov1	-0.0421078912913799	-0.060782115906477	0.0319591201841831	0.0559541396796703	-0.0646233558654785	-0.0643588677048683	0.0156848765909672	0.00716259423643351	-0.0658740401268005	0.00280582159757614	-0.0830687507987022	-0.0357773378491402	0.033657182008028	-0.0368877276778221	-0.0705982744693756	0.0349147766828537	-0.0793466046452522	-0.04124566167593	0.0412471555173397	0.00985224545001984	-0.059470858424902	0.0124891065061092	0.0139407394453883	0.0356522016227245	0.00505955191329122	-0.0580438189208508	-0.0383880436420441	0.000236938052694313	-0.0796257257461548	-0.0340588912367821	-0.0609303452074528	0.0415047854185104	-0.0190273839980364	-0.0454697087407112	-0.0700285285711288	0.0372207053005695	0.0427911132574081	0.0197789911180735	-0.0388178043067455	0.0503795929253101	0.00423551863059402	-0.0194808319211006	-0.0229044128209352	0.0456419177353382	0.0580776818096638	0.0180462561547756	0.047919861972332	-0.0323023945093155	-0.0957726985216141	0.0619827099144459	-0.0273137800395489	0.084504246711731	0.0935633406043053	0.0638537481427193	-0.0629713386297226	0.000754012260586023	-0.0831532031297684	-0.0523542910814285	0.00224114395678043	-0.0637324303388596	-0.049942385405302	0.0366582572460175	-0.0144020775333047	0.0881420150399208	-0.0105677535757422	0.0352197028696537	0.0227154735475779	0.0423742048442364	0.0466574989259243	0.0509307831525803	0.0874316990375519	-0.0414578579366207	-0.0246915612369776	0.0705387815833092	0.0449419505894184	0.000118730211397633	0.0223624333739281	0.0867667347192764	-0.0884116291999817	0.0360984951257706	-0.0483454242348671	-0.0654795467853546	0.0184827577322721	-0.0246980730444193	0.0529238767921925	-0.0317354463040829	0.0947915017604828	0.0265599433332682	-0.034711480140686	-0.0206243954598904	0.0894386395812035	-0.100928582251072	0.0381679199635983	-0.0646016001701355	-0.0093749538064003	0.00162523903418332	0.0696813687682152	0.0288568791002035	0.0150479692965746	0.019099785014987	0.042306262999773	0.0455098375678062	0.044424943625927	-0.0785557106137276	0.0315914750099182	-0.0214448347687721	0.0691409111022949	-0.0223089903593063	-0.0800566002726555	0.0703133270144463	-0.0184071604162455	-0.00872551649808884	0.0515561364591122	-0.017900038510561	0.00688604032620788	0.0348928906023502	-0.0221819281578064	-0.0585596598684788	-0.0335073135793209	-0.0189459957182407	-0.104467146098614	0.0213510971516371	0.0720958635210991	0.0547129511833191	0.0263428017497063	0.0572746060788631	0.0368306711316109	0.0238189045339823	-0.0704227983951569
InferredCov2	-0.0235388521105051	-0.0983193442225456	0.0475501976907253	-0.0741357430815697	-0.0245038364082575	-0.0845304653048515	0.111905820667744	-0.0600615665316582	-0.0577027313411236	-0.00796061009168625	-0.0581570379436016	-0.0460104495286942	-0.0598444528877735	-0.024748282507062	-0.048319760710001	0.0699375569820404	-0.00133227766491473	0.0543832033872604	-0.0446635037660599	-0.0161022059619427	-0.000801713555119932	0.0253926254808903	-0.0177776012569666	-0.0164774507284164	-0.0937311947345734	-0.0568470247089863	-0.0326526463031769	-0.00615699077025056	-0.012392845004797	0.035543829202652	0.059035949409008	-0.0888250321149826	0.103662930428982	-0.0647455528378487	-0.0148380044847727	0.0404989384114742	-0.0429236218333244	0.0487128905951977	-0.0355972871184349	-0.0265453569591045	-0.0647638365626335	0.15754109621048	0.0334207788109779	-0.0220684204250574	-0.0251473225653172	0.0198535900563002	0.00826847832649946	-0.0806598365306854	0.083562895655632	-0.0231739468872547	0.107647694647312	-0.0459987819194794	-0.0727115571498871	-0.0390239842236042	-0.0849999636411667	-0.0526125878095627	-0.0200945530086756	0.000191779530723579	0.0297187808901072	0.0484398566186428	0.0344596281647682	0.187202095985413	-0.00630144774913788	-0.00382714159786701	0.0851141437888145	-0.0415162332355976	-0.048210185021162	-0.0521282851696014	-0.0313742980360985	0.0454146452248096	0.0989917740225792	0.013392535969615	0.01727613247931	-0.0737195461988449	0.0947060808539391	-0.0388114415109158	-0.00136265100445598	-0.0189415607601404	-0.0771488100290298	0.0730144381523132	0.0687526911497116	0.0988326519727707	-0.0793661028146744	0.00494999065995216	-0.00811196491122246	0.0626943930983543	0.0182167217135429	0.0241522118449211	0.00780578842386603	0.16636298596859	0.0600468255579472	-0.0600318275392056	-0.030106658115983	0.0431091338396072	0.134051412343979	0.106751702725887	-0.033038429915905	-0.0230795983225107	-0.042458962649107	0.0858066603541374	-0.000292676733806729	-0.0621126852929592	-0.0198068097233772	0.0311509370803833	0.0189662650227547	0.0285037159919739	-0.0176769308745861	-0.0746765211224556	-0.0479829907417297	-0.0276777856051922	-0.044276911765337	0.0658600181341171	0.0146831134334207	0.16977958381176	0.112899400293827	-0.0323509313166142	0.016521168872714	-0.00776075944304466	-0.0225773341953754	-0.0335657112300396	-0.0112277045845985	0.0055335913784802	-0.00820369832217693	0.0429511815309525	-0.0639224424958229	-0.0354881100356579	-0.0126422438770533	-0.0598240457475185	-0.0919647365808487
InferredCov3	-0.00508372858166695	0.00094125751638785	-0.0129397129639983	0.0376519188284874	0.007752257399261	-0.0595665723085403	0.0388193875551224	0.0594473853707314	0.0307240448892117	0.0653328448534012	0.0611374117434025	0.0684110969305038	-0.00765750138089061	-0.0568069145083427	0.00650483323261142	0.0595719181001186	0.00305967312306166	-0.0656334906816483	0.0300884004682302	0.00673875166103244	-0.0588098391890526	0.0350750498473644	0.0429677665233612	-0.031912874430418	0.0853229388594627	-0.0571822300553322	0.0879634171724319	0.0597210489213467	0.00507564330473542	0.0641077235341072	0.0878039449453354	-0.0438174903392792	0.0154233369976282	-0.0618454664945602	0.025634566321969	0.0133220311254263	0.0520870164036751	0.0203373711556196	-0.0880296379327774	0.0429874733090401	-0.0659871995449066	0.0559368170797825	-0.00785936787724495	0.00125938432756811	-0.00136938830837607	-0.0892386734485626	0.0603842549026012	0.0150192016735673	0.060137752443552	0.0022348347119987	-0.0810874775052071	0.0212117061018944	0.0651625320315361	-0.00476992130279541	-0.0266397390514612	-0.0610865689814091	-0.0141350282356143	0.0435469970107079	0.0290083754807711	0.113161459565163	0.0706495940685272	-0.0122560393065214	0.00471238605678082	0.0319620966911316	-0.0551109462976456	0.0189510639756918	0.138613343238831	-0.019033033400774	-0.151312381029129	0.0431360714137554	-0.0172401499003172	-0.0847308561205864	-0.029777929186821	-0.0500625483691692	-0.0766894817352295	0.063522644340992	-0.02037138864398	-0.0254584811627865	-0.0246996339410543	-0.0841969847679138	-0.0299336388707161	0.135644733905792	0.0656879469752312	0.013436078093946	-0.0544913187623024	0.0883351713418961	0.00836412888020277	0.0398414693772793	-0.0319763608276844	0.00234412914142013	-0.0634726211428642	0.0563842728734016	0.0518002696335316	-0.00083002942847088	0.0276301093399525	-0.0475950762629509	-0.0075534456409514	0.0372760780155659	-0.00659055216237903	-0.060222215950489	0.0239427797496319	0.0166801400482655	-0.0263521801680326	-0.0614298582077026	0.0601117536425591	0.00805520545691252	0.0323905423283577	-0.134298279881477	-0.139170452952385	0.0139150274917483	0.0142784779891372	0.00560585642233491	-0.0218162182718515	-0.110486716032028	-0.0537532679736614	0.0726924240589142	0.0123511161655188	-0.0243813917040825	0.0627620294690132	-0.283637672662735	0.0296908672899008	0.037760965526104	0.0276237111538649	-0.0615264810621738	-0.0668506026268005	-0.133275225758553	0.0292890127748251	0.101295568048954	-0.0453965924680233
InferredCov4	0.0462332367897034	-0.00858951266855001	-0.122398279607296	0.00619119592010975	-0.0976344868540764	-0.0132518159225583	-0.0868699103593826	0.00668158521875739	-0.00817195698618889	-0.0517986044287682	-0.0127770490944386	-0.040342889726162	-0.0166821349412203	0.0508515574038029	-0.0494781583547592	-0.0470795445144176	-0.0637019127607346	0.0512944757938385	-0.0718160569667816	-0.107890792191029	0.0964453294873238	-0.0729496702551842	0.0237211436033249	0.0895834714174271	-0.0911040306091309	-0.0724181905388832	-0.0217825677245855	0.0017046146094799	-0.0291393287479877	0.0112332254648209	0.0524918437004089	-0.0670755282044411	0.0708259865641594	-0.103627800941467	0.0137793617323041	0.0347873270511627	0.00450542941689491	-0.0970233082771301	-0.0478326342999935	0.0258660614490509	-0.0418580621480942	0.0205010082572699	0.0897633880376816	0.0948751270771027	0.0439867898821831	0.118861585855484	0.00108629337046295	-0.104414567351341	0.00220197276212275	0.0304270070046186	-0.00533407786861062	0.0437604635953903	-0.0257630478590727	0.0482004284858704	-0.0487539693713188	0.0288258455693722	0.00503393029794097	0.0974904522299767	-0.0729149952530861	0.0849687829613686	0.106590405106544	-0.107926391065121	-0.0523257367312908	0.01559326518327	-0.0451374351978302	-0.034938707947731	-0.0178407579660416	-0.0868448987603188	0.0210813991725445	0.0399186238646507	0.0095952320843935	0.049942672252655	0.13656148314476	0.0197685342282057	-0.10789766907692	0.024894755333662	0.0228367131203413	-0.0191506259143353	-0.0347376763820648	-0.105364330112934	0.0918025001883507	-0.0766721069812775	0.0193288214504719	0.110365070402622	0.0997290089726448	0.0739399120211601	0.0271508004516363	0.0911631137132645	0.062615305185318	-0.0545078739523888	0.0225850753486156	-0.0833397135138512	0.0362082757055759	0.0294466577470303	-0.0609726868569851	-0.0348084270954132	0.0402788706123829	0.0287834294140339	0.0679148212075233	0.0685882866382599	0.0479775369167328	0.00128193700220436	0.035418301820755	0.0106957973912358	0.0780816674232483	-0.0731535404920578	-0.0132096335291862	0.127822563052177	-0.00147655920591205	0.00248879170976579	0.0765026733279228	-0.078690268099308	0.11519231647253	0.0028746675234288	-0.0361034907400608	0.0213854815810919	-0.0195895712822676	0.129755139350891	0.105082914233208	-0.0262026805430651	0.00763150304555893	-0.0986482799053192	-0.00520288804545999	-0.0375196151435375	-0.0523709654808044	-0.115935586392879	-0.112558424472809	-0.0316181294620037	-0.045030266046524
InferredCov5	-0.0194510668516159	0.0289232227951288	0.0769996643066406	0.0259922537952662	0.0360347293317318	0.058738000690937	-0.0872261598706245	-0.100177295506001	0.0603281296789646	0.127292960882187	0.0809558928012848	-0.0445572249591351	-0.0595215931534767	-0.0414663217961788	0.0251470450311899	-0.035302747040987	0.0152384890243411	-0.127656161785126	-0.0856773182749748	-0.00504170451313257	-0.018329881131649	-0.0976423248648643	-0.00164480309467763	0.0200529154390097	0.0158121325075626	-0.000263291178271174	0.0415858887135983	0.0861552059650421	0.0233079064637423	-0.0534772202372551	0.0574005208909512	0.113697290420532	-0.0324057936668396	-0.0572908185422421	-0.00864504557102919	-0.0793778076767921	-0.00695433048531413	0.0721628740429878	0.102056711912155	0.0192599985748529	0.202193439006805	0.0827440023422241	0.132616460323334	0.0216048788279295	0.00737528689205647	0.0876950025558472	-0.0798118934035301	-0.0834812894463539	-0.0221731159836054	-0.0307475160807371	0.0362020768225193	0.00983224809169769	-0.0563623309135437	0.0582732260227203	-0.00998864602297544	0.0194465909153223	-0.0899540558457375	-0.0361333750188351	0.0203997008502483	-0.0429074540734291	-0.0602316185832024	0.00539297331124544	0.188098967075348	-0.0823860839009285	-0.0350985750555992	0.0507818572223186	-0.103092052042484	-0.158523321151733	-0.0225928798317909	-0.00252915336750448	-0.0225544366985559	-0.0725081115961075	0.00856189522892237	0.104055874049664	-0.0358852110803127	-0.10220505297184	0.0839226618409157	-0.0355480797588825	0.0335541069507599	0.0152747211977839	0.0416384041309357	-0.00501133874058723	-0.0858388841152191	-0.0215076822787523	0.0578328035771847	-0.0305369701236486	0.00608042953535914	-0.0827376171946526	-0.107718914747238	0.0594704747200012	0.0335976481437683	0.059638749808073	-0.0282363500446081	-0.0937499776482582	-0.0176291465759277	-0.0382012352347374	0.0913902372121811	0.00788433384150267	-0.048675112426281	0.0329953245818615	0.0842117965221405	0.00215400545857847	-0.0619977898895741	-0.0195735525339842	-0.119563177227974	0.0488937683403492	0.0359109789133072	0.0116833047941327	-0.129357263445854	0.0424812734127045	0.0014021082315594	0.00310085574164987	0.0462934598326683	0.0192596465349197	0.0154732363298535	0.0992399826645851	0.0542228110134602	0.0579947531223297	0.0860829204320908	-0.0615866370499134	0.0257522724568844	0.0523274280130863	0.0446417964994907	0.0152783188968897	-0.154956758022308	-0.0519230030477047	-0.00832850579172373	-0.0289264880120754	-0.0395014211535454
