id	PMID	Year	File	Website	Consortium	Domain	ChapterLevel	SubchapterLevel	Trait	uniqTrait	Population	Ncase	Ncontrol	N	Genome	Nsnps	Nhits	SNPh2	SNPh2_se	SNPh2_z	SNPh2_l	SNPh2_l_se	LambdaGC	Chi2	Intercept	Note	DateAdded	DateLastModified
1	20732625	2010	https://www.med.unc.edu/pgc/results-and-downloads	http://www.med.unc.edu/pgc/	PGC	Psychiatric	Mental and Behavioural Disorders	Hyperkinetic Disorders	Attention deficit hyperactivity disorder	Attention deficit hyperactivity disorder	EUR	2960	2455	5415	hg18	1230403	0	0.2399	0.101	2.3752	0.2054	0.0865	1.0046	1.0168	0.9874	Population prevalence: 0.05 (PMID: 21385235).	2016-11-21	2019-11-08
2	30478444	2019	https://www.med.unc.edu/pgc/results-and-downloads	http://www.med.unc.edu/pgc/	PGC	Psychiatric	Mental and Behavioural Disorders	Hyperkinetic Disorders	Attention deficit hyperactivity disorder	Attention deficit hyperactivity disorder	EUR	19099	34194	53293	hg19	8094094	12	0.2359	0.0151	15.6225	0.2176	0.0139	1.2531	1.2964	1.0334	Only EUR ancestory. The number of risk loci reported in the original study is 12 (including non-EUR cohorts); Population prevalence: 0.05 (PMID: 21385235).	2017-07-04	2019-11-08
3	30478444	2019	https://www.med.unc.edu/pgc/results-and-downloads	http://www.med.unc.edu/pgc/	PGC	Psychiatric	Mental and Behavioural Disorders	Hyperkinetic Disorders	Attention deficit hyperactivity disorder	Attention deficit hyperactivity disorder	EUR+EAS	20183	35191	55374	hg19	8151189	9	0.1931	0.0137	14.0949	0.1768	0.0126	1.2267	1.2578	1.029	All ancestory.  The number of risk loci reported in the original study is 12. Population prevalence: 0.05 (PMID: 21385235).	2017-07-04	2019-11-08
4	28540026	2017	https://www.med.unc.edu/pgc/results-and-downloads	http://www.med.unc.edu/pgc/	PGC	Psychiatric	Mental and Behavioural Disorders	Pervasive Developmental Disorders	Autism spectrum disorder	Autism spectrum disorder	EUR	7387	8567	15954	hg19	9499589	1	0.2897	0.0332	8.7259	0.1379	0.0158	1.0466	1.058	0.966	Discovery phase. Population prevalence: 0.005 (PMID: 21385235).	2016-11-21	2019-11-08
5	21926972	2011	https://www.med.unc.edu/pgc/results-and-downloads	http://www.med.unc.edu/pgc/	PGC	Psychiatric	Mental and Behavioural Disorders	Bipolar Affective Disorder	Bipolar disorder	Bipolar disorder	EUR	7481	9250	16731	hg18	1233401	1	0.3639	0.0363	10.0248	0.2413	0.0241	1.1364	1.1424	1.0029	The number of risk loci reported in the original study is 4. Population prevalence: 0.02 (PMID: 21385235).	2016-11-21	2019-11-08
6	26754954	2016	https://www.med.unc.edu/pgc/results-and-downloads	http://www.med.unc.edu/pgc/	ANGST	Psychiatric	Mental Functions	Temperament and Personality Functions	Anxiety disorder (case/control)	Anxiety disorder	EUR	7016	14745	17310	hg19	6330995	1	0.0794	0.0308	2.5779	0.109	0.0422	1.0345	1.0304	1.0024	Case-control GWAS. The number of risk loci reported in the original study is 1. Population prevalence: 0.209 (PMID: 26487813, average of lifetime prevalence across 3 studies in Table 2).	2016-11-22	2019-11-08
7	26754954	2016	https://www.med.unc.edu/pgc/results-and-downloads	http://www.med.unc.edu/pgc/	ANGST	Psychiatric	Mental Functions	Temperament and Personality Functions	Anxiety disorder (factor score)	Anxiety disorder	EUR			18186	hg19	6306612	1	0.0699	0.0267	2.617977528			1.0195	1.0242	0.999	Factor score GWAS. The number of risk loci reported in the original study is 1. Population prevalence: 0.209 (PMID: 26487813, average of lifetime prevalence across 3 studies in Table 2).	2016-11-22	2017-02-07
8	22472876	2013	https://www.med.unc.edu/pgc/results-and-downloads	http://www.med.unc.edu/pgc/	PGC	Psychiatric	Mental and Behavioural Disorders	Depressive Episode	Major depressive disorder	Major depressive disorder	EUR	9240	9519	18759	hg18	1232658	0	0.1796	0.0369	4.8672	0.1447	0.0298	1.0649	1.069	1.0079	Discovery phase. Population prevalence: 0.042 (PMID: 22831756, pooled MDD only from Table 2).	2016-11-22	2019-11-08
9	21926974	2011	https://www.med.unc.edu/pgc/results-and-downloads	http://www.med.unc.edu/pgc/	PGC	Psychiatric	Mental and Behavioural Disorders	Schizophrenia	Schizophrenia	Schizophrenia	EUR	9394	12462	21856	hg18	1252761	7	0.5522	0.0347	15.9135	0.3109	0.0195	1.2597	1.298	1.0262	Discovery phase. The number of risk loci reported in t he original study is 7 (discovery and replication combined). Population prevalence: 0.01 (PMID: 21385235).	2017-02-06	2019-11-08
10	23974872	2013	https://www.med.unc.edu/pgc/results-and-downloads	http://www.med.unc.edu/pgc/	PGC	Psychiatric	Mental and Behavioural Disorders	Schizophrenia	Schizophrenia	Schizophrenia	EUR	13833	18310	32143	hg19	9898078	11	0.5234	0.0243	21.5391	0.2946	0.0137	1.2932	1.3455	1.0144	Discovery phase (PGC SCZ1 with swedish samples). The number of risk loci reported in t he original study is 22 (discovery and replication combined). Population prevalence: 0.01 (PMID: 21385235).	2017-02-06	2019-11-08
11	25056061	2014	https://www.med.unc.edu/pgc/results-and-downloads	http://www.med.unc.edu/pgc/	PGC	Psychiatric	Mental and Behavioural Disorders	Schizophrenia	Schizophrenia	Schizophrenia	EUR+EAS	35476	46839	82315	hg19	9444230	97	0.433	0.0169	25.6213	0.2436	0.0095	1.592	1.7858	1.0513	Discovery phase (excluding deCODE data).  The number of risk loci reported in the original study is 108 (from the meta-analysis including deCODE data). Population prevalence: 0.01 (PMID: 21385235).	2016-11-21	2019-11-08
12	24280982	2014	https://www.med.unc.edu/pgc/results-and-downloads	http://www.med.unc.edu/pgc/	PGC	Psychiatric	Mental and Behavioural Disorders	Schizophrenia/Bipolar Affective Disorder	Schizophrenia/Bipolar disorder	Schizophrenia/Bipolar disorder	EUR	19779	19423	39202	hg18	1252658	8	0.3693	0.0228	16.1974	0.2702	0.0167	1.2932	1.3444	1.0218	Cases include schizophrenia (9,363) and bipolar disorders (10,410). Population prevalence: 0.03 (SCZ + BP, PMID: 21385235).	2017-07-04	2019-11-08
13	24280982	2014	https://www.med.unc.edu/pgc/results-and-downloads	http://www.med.unc.edu/pgc/	PGC	Psychiatric	Mental and Behavioural Disorders	Schizophrenia/Bipolar Affective Disorder	Schizophrenia vs Bipolar disorder	Schizophrenia vs Bipolar disorder	EUR			16381	hg18	9444230	97	0.9091	0.0354	25.68079096			1.592	1.7858	1.0513	9,252 Bipolar vs 7,129 Schizophrenia	2017-07-04	2017-07-04
14	28439101	2017	https://www.med.unc.edu/pgc/results-and-downloads	http://www.med.unc.edu/pgc/	PGC	Psychiatric	Mental Functions	Temperament and Personality Functions	Posttraumatic stress disorder	Posttraumatic stress disorder	EUR	2424	7113	9537	rsID	11937975	0	0.1004	0.045	2.2311	0.1234	0.0553	1.0165	1.0126	0.994	Only EUR cohorts. Population prevalence: 0.068 (PMID: 15939837).	2017-07-04	2019-11-08
15	28439101	2017	https://www.med.unc.edu/pgc/results-and-downloads	http://www.med.unc.edu/pgc/	PGC	Psychiatric	Mental Functions	Temperament and Personality Functions	Posttraumatic stress disorder	Posttraumatic stress disorder	AFR	2479	6744	9223	rsID	19061771	1									Only African American cohorts.  Population prevalence: 0.068 (PMID: 15939837).	2017-07-04	2017-07-04
16	28439101	2017	https://www.med.unc.edu/pgc/results-and-downloads	http://www.med.unc.edu/pgc/	PGC	Psychiatric	Mental Functions	Temperament and Personality Functions	Posttraumatic stress disorder	Posttraumatic stress disorder	EUR+AFR+others	5131	15092	19884	rsID	23040926	0	0.0402	0.0394	1.0203	0.049	0.0479	1.0285	1.0214	1.0137	Combined GWAS of all cohorts including European, American African, Latino and south african.  Population prevalence: 0.068 (PMID: 15939837).	2017-07-04	2019-11-08
17	28494655	2017	https://www.med.unc.edu/pgc/results-and-downloads	http://www.med.unc.edu/pgc/	PGC	Psychiatric	Mental and Behavioural Disorders	Eating Disorders	Anorexia nervosa	Anorexia nervosa	EUR	3495	10982	14477	hg19	10641224	1	0.243	0.0382	6.3613	0.1787	0.0281	1.0772	1.0798	1.0087	Population prevalence: 0.009 (PMID: 16915322).	2016-11-20	2019-11-08
18	20418890	2010	https://www.med.unc.edu/pgc/results-and-downloads	http://www.med.unc.edu/pgc/	TAG	Psychiatric	Mental and Behavioural Disorders	Mental and Behavioural Disorders Due to Use of Tobacco	Former versus current smokers	Former vs current smokers	EUR			41278	hg18	2456326	0	0.0627	0.0104	6.028846154			1.0466	1.0506	1.0005		2016-11-20	2017-02-07
19	20418890	2010	https://www.med.unc.edu/pgc/results-and-downloads	http://www.med.unc.edu/pgc/	TAG	Psychiatric	Mental and Behavioural Disorders	Mental and Behavioural Disorders Due to Use of Tobacco	Ever versus never beeing a regular smoker	Ever vs never smokers	EUR			74035	hg18	2455618	0	0.0754	0.0065	11.6			1.0895	1.1034	0.9964		2016-11-21	2017-02-07
20	20418890	2010	https://www.med.unc.edu/pgc/results-and-downloads	http://www.med.unc.edu/pgc/	TAG	Psychiatric	Mental and Behavioural Disorders	Mental and Behavioural Disorders Due to Use of Tobacco	Number of cigarettes smoked per day	Cigarettes per day	EUR			38181	hg18	2458891	1	0.0533	0.0114	4.675438596			1.0527	1.0458	1.0065		2016-11-22	2017-02-07
21	20418890	2010	https://www.med.unc.edu/pgc/results-and-downloads	http://www.med.unc.edu/pgc/	TAG	Psychiatric	Mental and Behavioural Disorders	Mental and Behavioural Disorders Due to Use of Tobacco	Age of smoking initiation	Age of smoking initiation	EUR			24114	hg18	2457318	0	0.0625	0.0184	3.39673913			1.0345	1.0283	0.999		2017-07-04	2017-07-04
22	25187353	2014	https://www.med.unc.edu/pgc/results-and-downloads	http://www.med.unc.edu/pgc/	CIAC	Immunological	Diseases of the Blood and Blood-forming Organs and Certain Disorders Involving the Immune Mechanism	Agranulocytosis	Clozapine-Induced Agranulocytosis/Granulocytopenia	Agranulocytosis	EUR	163	1196	1359	hg19	9999879	0									For estimation of SNP heritability, sample prevalence was used as population prevalence.	2017-02-08	2017-02-21
23	26176920	2015	https://www.med.unc.edu/pgc/results-and-downloads	http://www.med.unc.edu/pgc/	CONVERGE	Psychiatric	Mental and Behavioural Disorders	Depressive Episode	Major depressive disorder (females)	Major depressive disorder	EAS	5303	5337	10640	hg19	6208598	2	0.2882	0.0478	6.0293	0.2322	0.0385	1.0772	1.0868	1.0162	Discovery phase. The number of risk loci reported in the original study is 2 (discovery and replication combined). Population prevalence: 0.042 (PMID: 22831756, pooled MDD only from Table 2).	2017-02-08	2019-11-08
24	27663945	2016	https://klaasjan.org/index.php/s/KHMw3SxdcWBW55s	http://www.tweelingenregister.org/EAGLE/	EAGLE	Psychiatric	Mental and Behavioural Disorders	Hyperkinetic Disorders	Attention deficit hyperactivity disorder	Attention deficit hyperactivity disorder	EUR			17666	hg19	5837346	0	0.079	0.0283	2.791519435			1.0225	1.0193	0.9913	File: EAGLE_20151029_n10k_GC1_Psort.tbl.gz. Quantitative phenotype (ADHD symptom scores).	2017-02-08	2017-02-21
25	24839885	2014	http://www.tweelingenregister.org/fileadmin/user_upload/EAGLE/Internalizing.zip	http://www.tweelingenregister.org/EAGLE/	EAGLE	Psychiatric	Mental and Behavioural Disorders	Other Anxiety Disorders	Internalizing	Internalizing	EUR			4596	rsID	2820357	0										2017-02-08	2017-02-21
26	26087016	2016	http://www.tweelingenregister.org/fileadmin/user_upload/EAGLE/Agression.zip	http://www.tweelingenregister.org/EAGLE/	EAGLE	Psychiatric	Mental Functions	Temperament and Personality Functions	Agression	Agression	EUR			18988	rsID	2186998	0	0.0506	0.0254	1.992125984			1.0165	1.0126	0.9931	Stage 1 summary statistics.	2017-02-08	2017-02-21
27	21173776	2012	https://www.dropbox.com/s/df3bifmk238ks2y/GPC-1.BigFiveNEO.zip?dl=0	http://www.tweelingenregister.org/GPC	GPC	Psychiatric	Mental Functions	Temperament and Personality Functions	Neuroticism (NEO-FFI)	Neuroticism	EUR			17375	hg18	2305524	0	0.0355	0.0258	1.375968992			1.0195	1.0201	1.0078	Discovery phase.	2016-11-26	2017-02-07
28	21173776	2012	https://www.dropbox.com/s/df3bifmk238ks2y/GPC-1.BigFiveNEO.zip?dl=0	http://www.tweelingenregister.org/GPC	GPC	Psychiatric	Mental Functions	Temperament and Personality Functions	Extraversion (NEO-FFI)	Extraversion	EUR			17375	hg18	2305609	0	0.0409	0.0268	1.526119403			1.0165	1.0141	0.9996	Discovery phase.	2016-11-26	2017-02-07
29	21173776	2012	https://www.dropbox.com/s/df3bifmk238ks2y/GPC-1.BigFiveNEO.zip?dl=0	http://www.tweelingenregister.org/GPC	GPC	Psychiatric	Mental Functions	Temperament and Personality Functions	Openness to Experience (NEO-FFI)	Openness to experience	EUR			17375	hg18	2305426	1	0.1061	0.0267	3.973782772			1.0315	1.0291	0.9917	Discovery phase. The number of risk loci reported in the original study is 2.	2016-11-26	2017-02-07
30	21173776	2012	https://www.dropbox.com/s/df3bifmk238ks2y/GPC-1.BigFiveNEO.zip?dl=0	http://www.tweelingenregister.org/GPC	GPC	Psychiatric	Mental Functions	Temperament and Personality Functions	Agreablenes (NEO-FFI)	Agreablenes	EUR			17375	hg18	2305247	0	0.0156	0.0275	0.567272727			1.0016	1.0085	1.0031	Discovery phase.	2016-11-26	2017-02-07
31	21173776	2012	https://www.dropbox.com/s/df3bifmk238ks2y/GPC-1.BigFiveNEO.zip?dl=0	http://www.tweelingenregister.org/GPC	GPC	Psychiatric	Mental Functions	Temperament and Personality Functions	Conscientiousness (NEO-FFI)	Conscientiousness	EUR			17375	hg18	2305468	1	0.0726	0.0296	2.452702703			1.0195	1.0259	1.0004	Discovery phase. The number of risk loci reported in the original studt is 1.	2016-11-26	2017-02-07
32	25993607	2015	https://www.dropbox.com/s/ql1en6s0kramxne/GPC-2.NEUROTICISM.zip?dl=0	http://www.tweelingenregister.org/GPC	GPC	Psychiatric	Mental Functions	Temperament and Personality Functions	Neuroticism (IRT)	Neuroticism	EUR			63661	hg19	6949614	1	0.0356	0.0084	4.238095238			1.0527	1.0564	1.011	Discovery phase.	2016-11-26	2018-10-16
33	26362575	2016	https://www.dropbox.com/s/bk2jn41vrfl3zna/GPC-2.EXTRAVERSION.zip?dl=0	http://www.tweelingenregister.org/GPC	GPC	Psychiatric	Mental Functions	Temperament and Personality Functions	Extraversion (IRT)	Extraversion	EUR			63661	hg19	6941603	0	0.0497	0.0083	5.987951807			1.0588	1.0667	1.0029	Discovery phase.	2016-11-26	2017-02-07
