"external_gene_name","ensembl_gene_id","gene_biotype","entrezgene_id","chromosome_name","Bait"
"AAR2","ENSG00000131043","protein_coding",25980,"20","SARS-CoV2 M"
"AASS","ENSG00000008311","protein_coding",10157,"7","SARS-CoV2 M"
"AATF","ENSG00000275700","protein_coding",26574,"17","SARS-CoV2 nsp8"
"ABCC1","ENSG00000103222","protein_coding",4363,"16","SARS-CoV2 orf9c"
"ACAD9","ENSG00000177646","protein_coding",28976,"3","SARS-CoV2 orf9c"
"ACADM","ENSG00000117054","protein_coding",34,"1","SARS-CoV2 M"
"ACSL3","ENSG00000123983","protein_coding",2181,"2","SARS-CoV2 nsp7"
"ADAM9","ENSG00000168615","protein_coding",8754,"8","SARS-CoV2 orf8"
"ADAMTS1","ENSG00000154734","protein_coding",9510,"21","SARS-CoV2 orf8"
"AGPS","ENSG00000018510","protein_coding",8540,"2","SARS-CoV2 nsp7"
"AKAP8","ENSG00000105127","protein_coding",10270,"19","SARS-CoV2 nsp12"
"AKAP8L","ENSG00000011243","protein_coding",26993,"19","SARS-CoV2 M"
"AKAP9","ENSG00000127914","protein_coding",10142,"7","SARS-CoV2 nsp13"
"ALG11","ENSG00000253710","protein_coding",440138,"13","SARS-CoV2 nsp4"
"ALG5","ENSG00000120697","protein_coding",29880,"13","SARS-CoV2 orf3a"
"ALG8","ENSG00000159063","protein_coding",79053,"11","SARS-CoV2 orf9c"
"ANO6","ENSG00000177119","protein_coding",196527,"12","SARS-CoV2 M"
"AP2A2","ENSG00000183020","protein_coding",161,"11","SARS-CoV2 nsp10"
"AP2M1","ENSG00000161203","protein_coding",1173,"3","SARS-CoV2 nsp10"
"AP3B1","ENSG00000132842","protein_coding",8546,"5","SARS-CoV2 E"
"ARF6","ENSG00000165527","protein_coding",382,"14","SARS-CoV2 nsp15"
"ARL6IP6","ENSG00000177917","protein_coding",151188,"2","SARS-CoV2 orf3a"
"ATE1","ENSG00000107669","protein_coding",11101,"10","SARS-CoV2 nsp8"
"ATP13A3","ENSG00000133657","protein_coding",79572,"3","SARS-CoV2 nsp6"
"ATP1B1","ENSG00000143153","protein_coding",481,"1","SARS-CoV2 M"
"ATP5MG","ENSG00000167283","protein_coding",10632,"11","SARS-CoV2 nsp6"
"ATP6AP1","ENSG00000071553","protein_coding",537,"X","SARS-CoV2 nsp6"
"ATP6V1A","ENSG00000114573","protein_coding",523,"3","SARS-CoV2 M"
"BAG5","ENSG00000166170","protein_coding",9529,"14","SARS-CoV2 orf9b"
"BCKDK","ENSG00000103507","protein_coding",10295,"16","SARS-CoV2 nsp12"
"BCS1L","ENSG00000074582","protein_coding",617,"2","SARS-CoV2 orf9c"
"BRD2","ENSG00000204256","protein_coding",6046,"6","SARS-CoV2 E"
"BRD4","ENSG00000141867","protein_coding",23476,"19","SARS-CoV2 E"
"BZW2","ENSG00000136261","protein_coding",28969,"7","SARS-CoV2 M"
"C1orf50","ENSG00000164008","protein_coding",79078,"1","SARS-CoV2 nsp13"
"CCDC86","ENSG00000110104","protein_coding",79080,"11","SARS-CoV2 nsp8"
"CDK5RAP2","ENSG00000136861","protein_coding",55755,"9","SARS-CoV2 nsp13"
"CENPF","ENSG00000117724","protein_coding",1063,"1","SARS-CoV2 nsp13"
"CEP112","ENSG00000154240","protein_coding",201134,"17","SARS-CoV2 nsp13"
"CEP135","ENSG00000174799","protein_coding",9662,"4","SARS-CoV2 nsp13"
"CEP250","ENSG00000126001","protein_coding",11190,"20","SARS-CoV2 nsp13"
"CEP350","ENSG00000135837","protein_coding",9857,"1","SARS-CoV2 nsp13"
"CEP68","ENSG00000011523","protein_coding",23177,"2","SARS-CoV2 nsp13"
"CHMP2A","ENSG00000130724","protein_coding",27243,"19","SARS-CoV2 orf9b"
"CHPF","ENSG00000123989","protein_coding",79586,"2","SARS-CoV2 orf8"
"CHPF2","ENSG00000033100","protein_coding",54480,"7","SARS-CoV2 orf8"
"CISD3","ENSG00000277972","protein_coding",284106,"17","SARS-CoV2 orf8"
"CIT","ENSG00000122966","protein_coding",11113,"12","SARS-CoV2 nsp13"
"CLCC1","ENSG00000121940","protein_coding",23155,"1","SARS-CoV2 orf3a"
"CLIP4","ENSG00000115295","protein_coding",79745,"2","SARS-CoV2 nsp13"
"CNTRL","ENSG00000119397","protein_coding",11064,"9","SARS-CoV2 nsp13"
"COL6A1","ENSG00000142156","protein_coding",1291,"21","SARS-CoV2 orf8"
"COLGALT1","ENSG00000130309","protein_coding",79709,"19","SARS-CoV2 nsp1"
