"Tissue","Gene","Variable","Median_TPM","coefficient","pvalue","FDR"
"Breast - Mammary Tissue","TMPRSS2","SEX",6.7575,11.0218992841854,1.04404043388146e-24,6.47305069006505e-23
"Breast - Mammary Tissue","ACE2","SEX",2.3635,-5.347450293249,1.54114412435126e-07,4.77754678548891e-06
"Pituitary","TMPRSS2","SEX",1.707,-3.97432515287712,9.54558163153334e-05,0.00197275353718356
"Lung","ACE2","AGE",1.024,3.15474168272975,0.0017035139692553,0.0264044665234572
"Prostate","TMPRSS2","AGE",182.9,-3.02962142624716,0.00276053826812138,0.0342306745247051
"Colon - Transverse","TMPRSS2","AGE",68.72,-2.67702963677253,0.00777553694294942,0.0760721602457199
"Adipose - Subcutaneous","ACE2","SEX",2.378,2.63741019080003,0.00858879228580709,0.0760721602457199
"Breast - Mammary Tissue","TMPRSS2","AGE",6.7575,-2.4895657409886,0.0132156348793244,0.102421170314764
"Minor Salivary Gland","ACE2","AGE",2.0045,-2.19026775705567,0.0303023343333916,0.208749414296698
"Ovary","ACE2","AGE",1.461,1.99750367214015,0.0475668253074972,0.294914316906483
"Minor Salivary Gland","TMPRSS2","AGE",41.785,-1.91983240662203,0.0570868482467472,0.319295566648281
"Vagina","ACE2","AGE",1.825,1.8846505022702,0.0617991419319254,0.319295566648281
"Skin - Sun Exposed (Lower leg)","TMPRSS2","SEX",6.956,-1.80413778457473,0.0717274847514973,0.342084927276372
"Artery - Coronary","ACE2","AGE",1.598,1.76226308422157,0.079567872772638,0.352372007993111
"Liver","TMPRSS2","SEX",12.61,1.68760902299448,0.093110083164169,0.384855010411899
"Colon - Transverse","ACE2","SEX",3.653,1.57426813734214,0.116323803452277,0.430888483608668
"Lung","ACE2","SEX",1.024,-1.56530396602066,0.118146842279796,0.430888483608668
"Thyroid","ACE2","SEX",6.3535,-1.4732943045029,0.141236568495164,0.476780306475303
"Pancreas","TMPRSS2","SEX",48.52,-1.43848896798382,0.151373685907361,0.476780306475303
"Skin - Not Sun Exposed (Suprapubic)","TMPRSS2","SEX",4.718,-1.42839486574866,0.153800098863001,0.476780306475303
