AAR2,AASS,AATF,ABCC1,ACAD9,ACADM,ACSL3,ADAM9,ADAMTS1,AGPS,AKAP8,AKAP8L,AKAP9,ALG11,ALG5,ALG8,ANO6,AP2A2,AP2M1,AP3B1,ARF6,ARL6IP6,ATE1,ATP13A3,ATP1B1,ATP5L,ATP6AP1,ATP6V1A,BAG5,BCKDK,BCS1L,BRD2,BRD4,BZW2,C1orf50,CCDC86,CDK5RAP2,CENPF,CEP112,CEP135,CEP250,CEP350,CEP68,CHMP2A,CHPF,CHPF2,CISD3,CIT,CLCC1,CLIP4,CNTRL,COL6A1,COLGALT1,COMT,COQ8B,CRTC3,CSDE1,CSNK2A2,CSNK2B,CUL2,CWC27,CYB5B,CYB5R3,DCAF7,DCAKD,DCTPP1,DDX10,DDX21,DNAJC11,DNAJC19,DNMT1,DPH5,DPY19L1,ECSIT,EDEM3,EIF4E2,EIF4H,ELOB,ELOC,EMC1,ERC1,ERGIC1,ERLEC1,ERMP1,ERO1B,ERP44,ETFA,EXOSC2,EXOSC3,EXOSC5,EXOSC8,F2RL1,FAM162A,FAM8A1,FAM98A,FAR2,FASTKD5,FBLN5,FBN1,FBN2,FBXL12,FKBP10,FKBP15,FKBP7,FOXRED2,FYCO1,G3BP1,G3BP2,GCC1,GCC2,GDF15,GFER,GGCX,GGH,GHITM,GIGYF2,GLA,GNB1,GNG5,GOLGA2,GOLGA3,GOLGA7,GOLGB1,GORASP1,GPAA1,GPX1,GRIPAP1,GRPEL1,GTF2F2,HDAC2,HEATR3,HECTD1,HMOX1,HOOK1,HS2ST1,HS6ST2,HSBP1,HYOU1,IDE,IL17RA,IMPDH2,INHBE,INTS4,ITGB1,JAKMIP1,LARP1,LARP4B,LARP7,LMAN2,LOX,MAP7D1,MARK1,MARK2,MARK3,MAT2B,MDN1,MEPCE,MFGE8,MIB1,MIPOL1,MOGS,MOV10,MPHOSPH10,MRPS2,MRPS25,MRPS27,MRPS5,MTCH1,MYCBP2,NARS2,NAT14,NDFIP2,NDUFAF1,NDUFAF2,NDUFB9,NEK9,NEU1,NGDN,NGLY1,NIN,NINL,NLRX1,NOL10,NPC2,NPTX1,NSD2,NUP210,NUP214,NUP54,NUP58,NUP62,NUP88,NUP98,NUTF2,OS9,PABPC1,PABPC4,PCNT,PCSK6,PDE4DIP,PDZD11,PIGO,PIGS,PITRM1,PKP2,PLAT,PLD3,PLEKHA5,PLEKHF2,PLOD2,PMPCA,PMPCB,POFUT1,POGLUT2,POGLUT3,POLA1,POLA2,POR,PPIL3,PPT1,PRIM1,PRIM2,PRKACA,PRKAR2A,PRKAR2B,PRRC2B,PSMD8,PTBP2,PTGES2,PUSL1,PVR,QSOX2,RAB10,RAB14,RAB18,RAB1A,RAB2A,RAB5C,RAB7A,RAB8A,RAE1,RALA,RAP1GDS1,RBM28,RBM41,RBX1,RDX,REEP5,REEP6,RETREG3,RHOA,RIPK1,RNF41,RPL36,RRP9,RTN4,SAAL1,SBNO1,SCAP,SCARB1,SCCPDH,SDF2,SELENOS,SEPSECS,SIGMAR1,SIL1,SIRT5,SLC25A21,SLC27A2,SLC30A6,SLC30A7,SLC30A9,SLC44A2,SLC9A3R1,SLU7,SMOC1,SNIP1,SPART,SRP19,SRP54,SRP72,STC2,STOM,STOML2,SUN2,TAPT1,TARS2,TBCA,TBK1,TBKBP1,TCF12,THTPA,TIMM10,TIMM10B,TIMM29,TIMM8B,TIMM9,TLE1,TLE3,TLE5,TM2D3,TMED5,TMEM39B,TMEM97,TOMM70,TOR1A,TOR1AIP1,TRIM59,TRMT1,TUBGCP2,TUBGCP3,TYSND1,UBAP2,UBAP2L,UBXN8,UGGT2,UPF1,USP13,USP54,VPS11,VPS39,WASHC4,WFS1,YIF1A,ZC3H18,ZC3H7A,ZDHHC5,ZNF318,ZNF503,ZYG11B
Artery...Tibial,1,3,1,18,6,15,11,4,2,3,1,5,7,7,13,17,3,13,5,3,12,9,3,2,48,16,14,41,4,5,24,1,1,25,6,15,2,40,8,5,16,3,5,1,8,5,14,44,4,13,3,9,5,12,7,1,2,6,5,6,4,19,2,3,14,29,4,10,19,2,14,19,11,19,5,9,1,5,8,6,2,8,4,45,7,2,20,12,4,26,5,20,30,1,14,35,26,4,8,42,3,6,7,5,37,1,11,3,32,3,11,16,18,36,8,3,16,4,5,5,5,8,1,1,8,16,26,16,10,3,36,5,28,40,21,45,36,11,4,16,17,34,3,3,41,5,11,2,9,4,9,2,14,10,1,13,10,3,1,2,15,31,6,35,32,3,17,15,3,14,42,39,29,2,21,5,14,2,8,2,39,9,5,9,29,9,47,3,2,7,4,4,3,3,4,5,9,9,48,8,13,17,2,1,46,23,15,13,9,5,23,2,3,6,5,3,23,15,16,6,28,5,5,3,37,1,10,4,43,23,6,30,8,4,1,3,1,3,2,3,12,36,16,11,4,14,7,3,46,31,1,4,4,15,14,10,6,8,6,43,17,5,4,13,3,9,25,4,45,7,9,6,1,37,2,1,16,1,9,6,3,17,7,4,1,2,37,1,4,34,2,22,10,1,6,25,4,6,6,34,3,9,7,37,4,2,1,34,24,2,1,21,12,2,38,2,1,12,31,1,1,2,1,9,4,2,8,4,16,7
Esophagus...Muscularis,2,7,10,2,18,19,35,15,13,14,16,18,25,22,29,39,4,8,8,24,22,29,9,15,36,13,41,44,15,14,12,18,15,9,21,17,20,42,5,20,21,15,10,13,28,18,15,25,15,10,16,3,10,25,13,5,4,8,18,13,11,34,10,12,18,32,21,24,23,16,21,16,25,9,21,12,13,14,27,26,5,18,28,42,19,23,11,21,18,38,20,42,19,6,9,12,28,20,6,4,7,18,17,13,41,8,26,11,17,21,27,8,24,43,24,17,27,17,23,21,9,24,13,2,22,22,15,24,26,20,24,13,33,44,40,36,28,39,6,29,23,31,22,5,28,31,25,4,33,16,3,5,24,17,20,21,17,10,14,14,29,21,25,16,4,18,11,17,26,33,19,47,27,7,18,3,26,17,27,22,22,4,19,32,11,13,32,14,14,21,14,19,16,11,26,17,22,25,23,16,30,30,15,7,48,12,28,2,15,9,16,13,15,9,16,8,2,36,35,25,33,14,17,10,4,12,26,2,24,19,13,22,17,31,22,22,26,15,25,22,17,23,22,19,11,28,13,35,41,16,12,9,9,25,24,21,13,11,20,36,22,20,26,24,11,28,27,8,38,18,22,31,32,45,23,44,7,11,19,22,21,9,4,10,7,16,38,23,16,14,7,23,26,6,15,24,14,9,22,6,18,18,23,28,19,17,5,29,19,9,13,27,9,16,39,11,4,25,14,13,8,21,7,14,8,13,18,13,1,18
Cells...Cultured.fibroblasts,3,5,3,4,3,44,8,1,3,2,6,27,17,1,1,1,13,6,2,1,4,1,26,1,46,27,21,18,3,3,1,6,16,7,8,2,6,3,6,1,1,6,26,15,4,2,3,15,1,15,5,1,1,2,9,16,18,5,4,2,2,3,5,2,6,3,1,1,1,19,2,1,2,42,1,1,3,2,4,1,6,1,3,19,22,1,16,1,1,7,2,36,39,16,2,8,16,2,1,1,1,1,5,1,10,24,1,5,2,1,3,6,2,3,38,2,6,6,7,4,1,11,2,4,1,3,36,4,5,1,4,14,5,38,3,48,2,4,7,5,2,9,2,2,45,1,5,3,1,1,33,43,47,7,5,1,2,5,3,3,1,1,2,1,11,1,4,12,10,2,4,12,5,1,44,2,7,8,7,4,10,27,1,6,32,3,49,5,1,2,3,6,2,2,1,1,3,30,49,9,1,1,1,4,43,1,6,11,21,1,2,3,1,1,2,7,5,11,2,9,3,1,31,6,41,8,4,20,32,4,1,4,19,8,12,1,7,1,9,2,2,4,5,1,3,3,4,20,28,3,6,1,10,3,2,4,2,3,4,22,6,1,1,2,1,2,37,12,37,1,1,3,24,35,10,23,1,2,2,3,1,1,12,1,33,42,7,3,2,20,1,9,5,4,4,8,2,44,8,41,19,6,1,8,15,1,9,3,1,1,4,7,7,1,2,1,3,18,42,10,4,1,15,1,3,4,4,3,7,15
Colon...Sigmoid,4,16,11,6,13,22,24,9,16,5,5,4,15,14,22,34,8,7,7,19,17,22,2,20,28,5,35,38,12,9,17,4,8,13,14,22,8,25,13,13,7,9,7,9,42,20,7,21,16,5,12,2,9,19,6,7,3,7,10,3,7,23,18,17,26,26,10,20,10,13,15,10,20,6,18,8,4,7,21,18,7,14,24,39,18,18,18,15,8,21,12,38,8,4,19,11,23,15,17,18,4,17,12,8,32,3,19,7,20,9,23,4,17,38,16,12,17,10,26,13,8,16,12,6,25,24,13,25,4,6,13,18,25,39,24,33,26,38,9,32,14,33,5,10,20,15,22,5,30,19,1,15,18,6,10,18,13,22,10,16,25,18,15,8,2,14,5,21,21,30,12,42,22,8,14,1,17,10,17,11,3,6,13,28,5,6,30,8,6,13,6,16,11,13,22,10,12,12,40,40,24,31,18,13,36,2,21,28,22,11,14,6,12,8,10,4,8,31,23,13,20,6,18,8,20,10,28,1,22,14,22,21,12,20,10,15,19,17,17,14,9,21,20,9,6,24,16,29,38,9,13,7,11,22,19,27,7,9,12,40,7,10,29,21,13,21,36,7,41,13,27,26,36,46,18,46,5,8,13,23,14,16,5,3,11,13,33,9,11,12,12,21,35,3,8,17,3,5,3,4,14,23,10,21,6,9,2,15,10,3,9,26,15,8,33,16,6,21,21,15,6,14,11,16,5,12,16,7,8,4
Esophagus...Gastroesophageal.Junction,5,6,12,3,20,26,34,13,12,16,11,11,14,20,28,41,10,10,10,26,21,26,10,17,35,11,39,42,16,11,15,10,13,15,17,18,14,41,12,19,20,17,14,12,24,14,11,28,12,9,17,4,11,26,11,4,6,10,16,16,13,32,9,20,20,33,20,25,27,14,20,18,22,10,19,16,12,12,24,22,9,11,26,43,25,22,13,17,14,40,16,44,14,7,10,20,25,16,7,6,5,15,14,9,34,6,22,13,14,22,26,11,22,42,23,16,25,20,20,20,11,27,14,7,13,21,16,30,28,19,26,12,32,43,38,28,32,41,13,25,20,27,20,7,29,29,26,7,32,17,5,7,26,13,19,20,15,8,12,12,27,19,22,19,6,17,16,20,24,37,18,46,34,3,16,4,24,16,30,17,21,7,20,29,15,16,34,17,13,22,15,21,17,12,20,19,23,19,20,13,27,29,20,9,47,11,20,3,17,7,17,11,13,10,12,13,3,34,34,23,34,19,16,11,6,14,27,3,26,15,16,24,20,25,24,19,25,16,22,20,19,25,25,15,12,26,15,32,42,15,10,11,12,16,22,22,14,16,21,38,25,19,27,25,8,24,33,10,40,16,23,29,30,42,21,43,8,12,20,24,19,15,8,13,6,15,34,18,17,15,9,24,33,7,14,23,13,13,24,9,15,20,22,24,21,16,4,26,17,10,12,29,17,15,37,12,8,22,10,5,10,16,6,15,10,10,21,14,4,16
Skin...Sun.Exposed..Lower.leg.,6,24,4,21,2,47,38,29,26,35,4,19,3,26,24,33,22,26,35,11,2,4,30,34,26,40,16,11,2,1,18,17,3,5,32,7,10,8,40,21,13,11,18,5,29,17,41,30,31,3,30,19,15,15,16,17,21,1,1,22,32,26,15,34,22,7,14,9,12,47,19,24,44,22,38,34,5,30,41,24,13,30,35,11,43,21,26,13,26,2,26,2,13,20,31,34,21,18,18,43,21,22,4,25,17,12,14,39,3,38,28,42,31,5,41,4,18,28,27,3,13,14,10,26,15,37,31,8,3,14,25,6,4,3,25,40,43,45,1,9,4,42,17,23,46,13,4,37,26,10,11,36,2,38,28,8,9,18,24,34,12,6,23,9,38,9,42,18,2,23,39,2,44,44,40,31,21,11,32,19,45,2,6,15,19,39,36,6,16,26,16,12,13,26,11,6,25,18,5,35,36,22,4,25,19,42,33,9,3,44,8,12,18,30,21,12,18,13,26,40,8,9,32,12,40,17,6,37,35,1,37,15,5,1,9,30,27,23,11,4,3,14,31,10,28,19,43,31,23,2,18,3,36,5,8,19,19,21,2,13,37,16,18,6,10,20,44,34,24,12,10,35,10,21,26,32,6,34,45,15,6,8,17,5,15,39,12,43,33,41,22,45,27,24,3,16,19,22,2,32,38,47,21,20,29,18,28,21,22,7,7,2,5,9,42,32,7,29,12,20,3,22,27,22,16,23,2,19,34,33
Artery...Coronary,7,10,8,9,11,20,14,5,6,8,15,16,24,8,11,11,9,11,12,7,9,11,8,5,42,17,12,32,11,8,11,5,5,21,11,13,4,23,9,7,33,8,15,4,5,4,8,33,6,11,9,7,3,9,10,2,7,12,9,11,9,11,3,16,23,21,15,7,28,7,9,12,9,25,2,10,11,6,9,3,8,12,5,35,12,4,19,16,6,22,9,16,36,5,7,24,15,3,3,24,8,3,6,6,36,5,6,12,13,14,22,22,7,27,19,10,8,7,6,9,4,12,4,9,5,9,25,17,9,9,8,15,17,42,19,29,15,10,11,10,18,13,8,4,36,11,13,8,6,6,8,4,27,19,9,14,23,2,5,8,8,27,10,28,37,7,21,14,9,21,33,37,23,5,33,9,16,13,9,9,38,16,10,5,35,18,39,10,7,9,11,8,9,4,3,13,14,20,33,11,8,15,6,3,25,6,8,30,11,6,22,7,4,4,4,10,25,21,6,4,29,12,13,4,32,11,12,11,31,21,7,16,10,7,8,4,4,5,6,5,21,28,18,14,10,7,9,5,39,29,3,8,8,13,12,8,10,13,17,31,16,8,5,15,5,8,32,28,44,4,6,13,3,41,9,13,12,7,6,7,7,11,10,20,3,12,28,7,9,27,10,15,4,9,13,10,9,20,19,22,10,5,5,40,11,4,6,12,9,6,10,24,22,7,19,4,10,19,37,12,5,4,8,6,13,5,12,8,20,12
Artery...Aorta,8,8,5,1,8,28,3,2,4,13,17,12,23,3,16,15,1,9,6,4,8,18,13,3,43,24,4,35,9,6,23,2,2,30,12,20,1,32,10,8,22,10,17,3,1,3,12,41,2,17,8,6,6,5,4,3,5,14,7,15,5,17,1,26,13,12,13,11,31,6,13,31,5,27,3,6,2,4,7,2,4,2,2,37,9,3,21,20,5,29,13,15,22,3,5,37,17,1,2,19,2,2,8,3,35,4,16,8,15,17,7,18,9,25,17,5,7,5,4,2,3,9,5,5,2,11,20,20,13,7,22,20,13,41,27,41,24,6,10,7,22,12,7,1,37,9,17,6,4,2,7,8,20,23,7,22,22,1,2,6,7,30,9,33,46,4,30,10,14,17,26,40,30,4,27,7,13,7,11,7,4,8,14,4,31,15,41,11,9,11,9,7,6,1,2,18,19,15,43,7,5,19,3,2,38,9,3,17,6,3,27,4,2,3,1,14,27,17,4,2,32,8,6,5,46,4,9,15,34,25,4,20,9,6,2,2,3,4,4,6,25,43,17,17,13,9,18,4,40,25,2,12,5,20,20,7,9,14,13,41,31,4,2,28,4,5,46,33,42,6,11,19,4,34,4,17,3,6,8,5,5,19,9,25,2,7,29,11,7,23,6,16,6,2,9,22,12,3,17,14,6,8,3,39,14,3,3,9,29,4,11,25,26,6,32,3,9,23,38,9,2,8,4,3,12,3,9,6,6,11
Uterus,9,4,13,20,5,29,27,11,10,9,3,10,21,4,14,14,7,15,11,13,24,13,6,14,14,18,24,34,20,13,3,3,6,22,19,14,13,33,4,2,8,13,3,19,13,11,20,40,3,23,11,5,14,16,3,8,10,11,13,9,6,12,11,7,11,25,5,16,13,10,8,6,6,7,17,14,14,20,23,4,11,17,8,30,16,14,32,4,7,20,3,46,18,2,11,22,20,6,15,7,6,4,15,4,9,7,8,21,7,18,24,12,4,37,28,7,15,14,19,11,6,20,16,3,4,31,17,33,11,5,18,11,36,45,13,10,21,13,12,20,6,15,6,9,30,7,19,9,13,18,20,18,25,8,13,7,7,4,4,7,24,8,5,6,13,5,7,19,23,4,7,44,24,13,20,6,22,1,21,12,8,10,15,19,25,27,46,12,5,10,5,23,8,8,13,22,13,8,41,24,20,5,30,8,30,3,14,4,27,10,13,8,5,2,3,6,7,24,9,10,13,4,15,15,26,2,20,5,15,6,10,9,15,14,18,11,14,14,14,21,8,18,27,4,7,15,17,19,33,10,15,14,16,11,7,28,4,7,5,19,19,7,21,17,6,14,21,3,46,11,18,9,35,44,19,36,4,5,12,17,10,32,13,6,8,3,20,8,10,9,3,3,32,5,7,33,8,2,29,5,8,29,2,16,7,6,7,20,3,5,5,19,11,4,16,7,12,11,28,2,14,11,5,8,6,14,19,5,3,6
Adipose...Subcutaneous,10,9,6,16,10,27,31,6,8,4,2,20,5,5,5,7,2,12,17,5,7,5,4,8,47,31,25,26,7,17,22,8,9,14,15,8,21,16,2,11,36,5,2,7,45,13,13,34,13,18,7,10,4,18,21,10,8,9,8,8,16,5,4,9,30,10,9,4,18,18,6,15,14,29,10,21,7,26,17,12,12,10,10,38,20,6,7,18,13,18,8,39,43,8,17,7,27,10,4,32,9,16,3,10,29,16,4,23,4,15,8,28,12,18,21,9,9,9,8,10,19,15,7,11,12,4,32,10,21,13,10,4,11,46,9,43,40,36,15,3,8,30,10,6,40,8,10,11,25,3,18,16,36,25,12,23,12,6,9,19,20,22,8,24,30,13,27,25,1,12,40,28,20,14,38,13,11,6,6,5,36,14,4,7,41,25,44,4,4,15,12,10,4,22,5,3,8,22,38,14,29,18,9,16,13,20,16,26,8,8,26,9,6,12,7,9,15,8,18,24,9,7,19,7,2,18,3,9,45,28,27,31,13,11,17,7,2,2,1,7,10,6,23,2,18,18,8,16,30,21,4,2,14,14,6,5,8,23,27,6,10,11,10,5,17,12,15,17,30,2,3,22,8,36,6,11,11,10,15,12,4,12,3,12,5,22,16,13,5,22,4,18,7,22,24,21,5,8,9,25,21,4,6,31,10,5,10,40,15,21,3,6,16,3,14,6,13,9,40,7,12,3,14,10,11,6,10,11,17,13
